"",BBK01.PQN351,BBK01.PQN351_FLAGS
"",Lending to domestic enterprises and resident individuals / Short-term / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:19:53,
1958-10,0.373,
1959-01,-,Nothing exists
1959-04,0.391,
1959-07,-,Nothing exists
1959-10,0.313,
1960-01,-,Nothing exists
1960-04,0.586,
1960-07,-,Nothing exists
1960-10,0.359,
1961-01,-,Nothing exists
1961-04,0.554,
1961-07,-,Nothing exists
1961-10,0.504,
1962-01,-,Nothing exists
1962-04,0.562,
1962-07,-,Nothing exists
1962-10,0.473,
1963-01,-,Nothing exists
1963-04,0.672,
1963-07,-,Nothing exists
1963-10,0.537,
1964-01,-,Nothing exists
1964-04,0.678,
1964-07,-,Nothing exists
1964-10,0.815,
1965-01,0.808,
1965-04,0.837,
1965-07,0.727,
1965-10,0.774,
1966-01,0.852,
1966-04,0.915,
1966-07,0.932,
1966-10,1.031,
1967-01,1.016,
1967-04,1.049,
1967-07,0.980,
1967-10,1.074,
1968-01,1.067,
1968-04,1.086,
1968-07,1.078,
1968-10,0.384,
1969-01,0.603,
1969-04,0.612,
1969-07,0.575,
1969-10,0.593,
1970-01,0.699,
1970-04,0.885,
1970-07,0.701,
1970-10,0.687,
1971-01,0.687,
1971-04,0.581,
1971-07,0.579,
1971-10,0.647,
1972-01,0.602,
1972-04,0.731,
1972-07,0.740,
1972-10,0.889,
1973-01,0.970,
1973-04,1.046,
1973-07,1.068,
1973-10,1.034,
1974-01,1.034,
1974-04,1.226,
1974-07,1.244,
1974-10,1.381,
1975-01,1.519,
1975-04,1.527,
1975-07,1.524,
1975-10,1.544,
1976-01,1.479,
1976-04,1.581,
1976-07,1.734,
1976-10,1.485,
1977-01,1.377,
1977-04,1.386,
1977-07,1.314,
1977-10,1.297,
1978-01,1.141,
1978-04,1.073,
1978-07,1.077,
1978-10,0.960,
1979-01,0.878,
1979-04,0.864,
1979-07,0.869,
1979-10,0.974,
1980-01,0.852,
1980-04,0.942,
1980-07,0.997,
1980-10,1.140,
1981-01,0.970,
1981-04,1.008,
1981-07,1.098,
1981-10,1.296,
1982-01,1.200,
1982-04,1.330,
1982-07,1.400,
1982-10,1.431,
1983-01,1.430,
1983-04,1.724,
1983-07,1.639,
1983-10,1.663,
1984-01,1.657,
1984-04,1.577,
1984-07,1.624,
1984-10,1.728,
1985-01,1.726,
1985-04,1.767,
1985-07,1.837,
1985-10,1.830,
1986-01,1.761,
1986-04,1.731,
1986-07,1.733,
1986-10,1.679,
1987-01,1.490,
1987-04,1.329,
1987-07,1.468,
1987-10,1.526,
1988-01,1.444,
1988-04,1.253,
1988-07,1.419,
1988-10,1.498,
1989-01,1.074,
1989-04,1.162,
1989-07,1.054,
1989-10,1.440,
1990-01,1.142,
1990-04,1.448,
1990-07,2.091,
1990-10,2.156,
1991-01,2.263,
1991-04,2.500,
1991-07,2.556,
1991-10,2.476,
1992-01,3.001,
1992-04,3.148,
1992-07,3.305,
1992-10,3.555,
1993-01,12.073,
1993-04,8.767,
1993-07,6.975,
1993-10,4.341,
1994-01,4.516,
1994-04,3.160,
1994-07,3.263,
1994-10,3.659,
1995-01,3.929,
1995-04,4.074,
1995-07,3.935,
1995-10,4.652,
1996-01,3.923,
1996-04,3.940,
1996-07,4.152,
1996-10,4.539,
1997-01,4.255,
1997-04,4.150,
1997-07,4.004,
1997-10,4.414,
1998-01,5.273,
1998-04,6.619,
1998-07,7.068,
1998-10,6.669,
1999-01,5.061,
1999-04,4.642,
1999-07,4.758,
1999-10,6.903,
2000-01,4.509,
2000-04,3.352,
2000-07,3.645,
2000-10,4.158,
2001-01,3.996,
2001-04,3.251,
2001-07,3.222,
2001-10,4.080,
2002-01,3.091,
2002-04,3.440,
2002-07,3.315,
2002-10,3.215,
2003-01,2.781,
2003-04,3.180,
2003-07,2.948,
2003-10,4.232,
2004-01,3.093,
2004-04,2.812,
2004-07,2.539,
2004-10,3.511,
2005-01,2.799,
2005-04,3.003,
2005-07,2.972,
2005-10,3.772,
2006-01,2.875,
2006-04,3.467,
2006-07,3.216,
2006-10,4.026,
2007-01,2.162,
2007-04,2.452,
2007-07,2.838,
2007-10,7.051,
2008-01,5.298,
2008-04,3.801,
2008-07,9.217,
2008-10,13.933,
2009-01,22.543,
2009-04,26.604,
2009-07,17.877,
2009-10,20.130,
2010-01,24.813,
2010-04,23.171,
2010-07,20.319,
2010-10,19.291,
2011-01,15.009,
2011-04,21.994,
2011-07,22.559,
2011-10,25.895,
2012-01,27.303,
2012-04,25.146,
2012-07,28.357,
2012-10,30.909,
2013-01,31.545,
2013-04,27.611,
2013-07,1.314,
2013-10,1.372,
2014-01,1.317,
2014-04,1.186,
2014-07,1.083,
2014-10,1.056,
