"",BBK01.OEBB15N,BBK01.OEBB15N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:42,
2002-01,2.265,
2002-04,2.306,
2002-07,2.326,
2002-10,2.226,
2003-01,2.197,
2003-04,2.213,
2003-07,2.096,
2003-10,2.214,
2004-01,2.053,
2004-04,2.253,
2004-07,2.352,
2004-10,2.340,
2005-01,2.325,
2005-04,2.333,
2005-07,2.352,
2005-10,2.430,
2006-01,2.512,
2006-04,2.509,
2006-07,2.584,
2006-10,2.571,
2007-01,2.549,
2007-04,2.529,
2007-07,2.578,
2007-10,2.632,
2008-01,2.766,
2008-04,2.834,
2008-07,2.898,
2008-10,2.886,
2009-01,2.695,
2009-04,2.692,
2009-07,2.716,
2009-10,2.731,
2010-01,2.607,
2010-04,2.656,
2010-07,2.687,
2010-10,2.646,
2011-01,2.745,
2011-04,2.816,
2011-07,2.849,
2011-10,2.868,
2012-01,2.882,
2012-04,2.909,
2012-07,2.927,
2012-10,2.965,
2013-01,2.923,
2013-04,2.973,
2013-07,3.002,
2013-10,2.995,
2014-01,2.983,
2014-04,2.940,
2014-07,2.930,
