"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.BE.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.BE.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Belgium / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:33,
2009-09,693,
2009-10,715,
2009-11,751,
2009-12,757,
2010-01,809,
2010-02,841,
2010-03,859,
2010-04,891,
2010-05,886,
2010-06,864,
2010-07,892,
2010-08,902,
2010-09,1176,
2010-10,1118,
2010-11,1033,
2010-12,872,
2011-01,758,
2011-02,813,
2011-03,865,
2011-04,834,
2011-05,790,
2011-06,781,
2011-07,746,
2011-08,787,
2011-09,881,
2011-10,791,
2011-11,753,
2011-12,767,
2012-01,810,
2012-02,819,
2012-03,923,
2012-04,917,
2012-05,960,
2012-06,1009,
2012-07,1027,
2012-08,1064,
2012-09,1135,
2012-10,1139,
2012-11,1101,
2012-12,1174,
2013-01,1095,
2013-02,1161,
2013-03,1125,
2013-04,1230,
2013-05,1205,
2013-06,1208,
2013-07,1309,
2013-08,1290,
2013-09,1308,
2013-10,1318,
2013-11,1307,
2013-12,1493,
2014-01,1597,
2014-02,1668,
2014-03,1628,
2014-04,1750,
2014-05,1743,
2014-06,1703,
2014-07,1697,
2014-08,1722,
2014-09,1685,
2014-10,1704,
2014-11,1511,
