"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00122.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.00122.000000.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:45,
2009-09,24377,
2009-10,23017,
2009-11,22570,
2009-12,23361,
2010-01,21689,
2010-02,21736,
2010-03,23583,
2010-04,21008,
2010-05,21108,
2010-06,18156,
2010-07,20543,
2010-08,19135,
2010-09,19445,
2010-10,20433,
2010-11,18156,
2010-12,19515,
2011-01,21393,
2011-02,22108,
2011-03,20383,
2011-04,20698,
2011-05,19981,
2011-06,19648,
2011-07,18129,
2011-08,14497,
2011-09,13087,
2011-10,13835,
2011-11,12342,
2011-12,12918,
2012-01,14738,
2012-02,15770,
2012-03,15613,
2012-04,13932,
2012-05,13730,
2012-06,13844,
2012-07,12714,
2012-08,13456,
2012-09,14439,
2012-10,15279,
2012-11,15539,
2012-12,16363,
2013-01,17655,
2013-02,17377,
2013-03,16478,
2013-04,17600,
2013-05,19513,
2013-06,17961,
2013-07,19270,
2013-08,19322,
2013-09,20646,
2013-10,22539,
2013-11,22597,
2013-12,23011,
2014-01,23393,
2014-02,24371,
2014-03,24631,
2014-04,24704,
2014-05,25144,
2014-06,24523,
2014-07,24261,
2014-08,24708,
2014-09,25277,
2014-10,24738,
2014-11,25176,
