"",BBK01.OEYI05K,BBK01.OEYI05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:02,
2002-01,26.428,
2002-04,26.463,
2002-07,27.529,
2002-10,27.771,
2003-01,28.247,
2003-04,28.261,
2003-07,28.592,
2003-10,28.055,
2004-01,28.092,
2004-04,29.089,
2004-07,28.047,
2004-10,19.530,
2005-01,20.204,
2005-04,21.505,
2005-07,22.117,
2005-10,22.532,
2006-01,23.354,
2006-04,24.691,
2006-07,30.613,
2006-10,28.673,
2007-01,28.907,
2007-04,29.825,
2007-07,29.581,
2007-10,29.489,
2008-01,29.296,
2008-04,28.871,
2008-07,28.717,
2008-10,28.483,
2009-01,26.479,
2009-04,26.374,
2009-07,25.987,
2009-10,25.029,
2010-01,24.618,
2010-04,24.474,
2010-07,24.128,
2010-10,23.627,
2011-01,23.131,
2011-04,22.442,
2011-07,15.939,
2011-10,15.832,
2012-01,15.280,
2012-04,15.133,
2012-07,14.921,
2012-10,14.646,
2013-01,14.420,
2013-04,14.252,
2013-07,15.498,
2013-10,14.959,
2014-01,14.195,
2014-04,14.595,
2014-07,14.479,
