"",BBFN1.M.DE.N.1.A.SG.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SG.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:01,
1994-12,0.886,
1995-01,0.790,
1995-02,0.794,
1995-03,0.851,
1995-04,0.821,
1995-05,0.814,
1995-06,0.849,
1995-07,0.964,
1995-08,0.951,
1995-09,0.956,
1995-10,1.166,
1995-11,1.208,
1995-12,1.277,
1996-01,1.568,
1996-02,1.505,
1996-03,1.225,
1996-04,1.345,
1996-05,1.310,
1996-06,1.468,
1996-07,1.580,
1996-08,1.640,
1996-09,1.829,
1996-10,1.782,
1996-11,2.111,
1996-12,1.896,
1997-01,2.256,
1997-02,1.867,
1997-03,1.877,
1997-04,2.327,
1997-05,2.156,
1997-06,2.031,
1997-07,1.974,
1997-08,1.899,
1997-09,1.857,
1997-10,1.664,
1997-11,1.702,
1997-12,1.772,
1998-01,1.655,
1998-02,1.652,
1998-03,1.590,
1998-04,1.570,
1998-05,1.584,
1998-06,1.439,
1998-07,1.384,
1998-08,1.352,
1998-09,1.341,
1998-10,1.343,
1998-11,1.251,
1998-12,1.310,
1999-01,1.292,
1999-02,1.324,
1999-03,1.426,
1999-04,1.531,
1999-05,1.500,
1999-06,1.506,
1999-07,1.632,
1999-08,1.694,
1999-09,1.554,
1999-10,1.675,
1999-11,1.809,
1999-12,1.862,
2000-01,1.900,
2000-02,1.688,
2000-03,1.877,
2000-04,1.855,
2000-05,2.087,
2000-06,2.256,
2000-07,2.262,
2000-08,2.353,
2000-09,2.439,
2000-10,2.290,
2000-11,2.260,
2000-12,2.254,
2001-01,2.170,
2001-02,2.260,
2001-03,2.314,
2001-04,2.402,
2001-05,2.407,
2001-06,2.202,
2001-07,2.187,
2001-08,2.172,
2001-09,2.183,
2001-10,2.107,
2001-11,2.144,
2001-12,2.286,
2002-01,2.011,
2002-02,2.112,
2002-03,2.013,
2002-04,2.122,
2002-05,2.256,
2002-06,2.153,
2002-07,2.318,
2002-08,2.307,
2002-09,2.378,
2002-10,2.411,
2002-11,2.394,
2002-12,2.266,
2003-01,2.254,
2003-02,2.225,
2003-03,2.196,
2003-04,2.139,
2003-05,2.230,
2003-06,2.152,
2003-07,2.141,
2003-08,2.081,
2003-09,2.149,
2003-10,2.049,
2003-11,2.149,
2003-12,2.032,
2004-01,1.898,
2004-02,1.908,
2004-03,2.010,
2004-04,2.010,
2004-05,2.071,
2004-06,2.077,
2004-07,2.100,
2004-08,2.178,
2004-09,2.280,
2004-10,2.214,
2004-11,2.201,
2004-12,2.154,
2005-01,2.057,
2005-02,2.048,
2005-03,2.162,
2005-04,2.249,
2005-05,2.259,
2005-06,2.405,
2005-07,2.312,
2005-08,2.245,
2005-09,2.398,
2005-10,2.223,
2005-11,2.156,
2005-12,2.153,
2006-01,2.153,
2006-02,2.209,
2006-03,2.259,
2006-04,2.297,
2006-05,2.540,
2006-06,2.545,
2006-07,2.232,
2006-08,2.311,
2006-09,2.354,
2006-10,2.362,
2006-11,2.419,
2006-12,2.294,
2007-01,2.163,
2007-02,2.654,
2007-03,2.324,
2007-04,2.333,
2007-05,2.550,
2007-06,2.813,
2007-07,2.493,
2007-08,2.515,
2007-09,2.762,
2007-10,2.757,
2007-11,2.576,
2007-12,2.437,
2008-01,2.513,
2008-02,2.574,
2008-03,2.699,
2008-04,3.205,
2008-05,3.225,
2008-06,2.942,
2008-07,3.104,
2008-08,3.341,
2008-09,3.173,
2008-10,3.201,
2008-11,2.837,
2008-12,2.939,
2009-01,2.532,
2009-02,2.459,
2009-03,2.595,
2009-04,2.706,
2009-05,2.698,
2009-06,2.633,
2009-07,2.722,
2009-08,2.771,
2009-09,2.864,
2009-10,2.923,
2009-11,2.943,
2009-12,2.815,
2010-01,3.030,
2010-02,2.971,
2010-03,3.198,
2010-04,3.318,
2010-05,3.681,
2010-06,3.827,
2010-07,3.882,
2010-08,3.913,
2010-09,3.897,
2010-10,4.061,
2010-11,4.233,
2010-12,4.433,
2011-01,4.265,
2011-02,4.163,
2011-03,4.282,
2011-04,4.341,
2011-05,4.500,
2011-06,4.354,
2011-07,4.328,
2011-08,4.193,
2011-09,4.338,
2011-10,4.473,
2011-11,4.743,
2011-12,4.731,
2012-01,4.697,
2012-02,4.681,
2012-03,4.919,
2012-04,5.312,
2012-05,5.585,
2012-06,6.026,
2012-07,6.325,
2012-08,6.021,
2012-09,5.824,
2012-10,6.044,
2012-11,5.781,
2012-12,5.356,
2013-01,4.893,
2013-02,4.913,
2013-03,5.413,
2013-04,5.373,
2013-05,5.369,
2013-06,6.007,
2013-07,5.400,
2013-08,5.451,
2013-09,5.653,
2013-10,6.191,
2013-11,6.864,
2013-12,5.567,
2014-01,5.321,
2014-02,5.257,
2014-03,6.247,
2014-04,6.341,
2014-05,6.569,
2014-06,6.895,
2014-07,7.300,
2014-08,7.275,
2014-09,6.931,
2014-10,6.780,
2014-11,6.561,
2014-12,6.657,
