"",BBK01.OELM02V,BBK01.OELM02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:37,
2002-01,0.026,
2002-04,0.025,
2002-07,0.029,
2002-10,0.033,
2003-01,0.025,
2003-04,0.025,
2003-07,0.035,
2003-10,0.039,
2004-01,0.027,
2004-04,0.036,
2004-07,0.041,
2004-10,0.029,
2005-01,0.037,
2005-04,0.028,
2005-07,0.028,
2005-10,0.035,
2006-01,0.053,
2006-04,0.067,
2006-07,0.051,
2006-10,0.023,
2007-01,0.027,
2007-04,0.026,
2007-07,0.070,
2007-10,0.054,
2008-01,0.055,
2008-04,0.112,
2008-07,0.033,
2008-10,0.043,
2009-01,0.045,
2009-04,0.035,
2009-07,0.039,
2009-10,0.035,
2010-01,0.041,
2010-04,0.048,
2010-07,0.049,
2010-10,0.046,
2011-01,0.051,
2011-04,0.041,
2011-07,0.036,
2011-10,0.046,
2012-01,0.059,
2012-04,0.054,
2012-07,0.051,
2012-10,0.059,
2013-01,0.092,
2013-04,0.282,
2013-07,0.270,
2013-10,0.283,
2014-01,0.268,
2014-04,0.295,
2014-07,0.268,
