"",BBK01.BQM204,BBK01.BQM204_FLAGS
"","State government debt - of which securities other than shares, excl. financial derivates",
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:32,
2000-01,58763,
2000-04,59758,
2000-07,61400,
2000-10,64759,
2001-01,69240,
2001-04,71488,
2001-07,81290,
2001-10,89492,
2002-01,95755,
2002-04,107071,
2002-07,116354,
2002-10,121508,
2003-01,135265,
2003-04,144868,
2003-07,146984,
2003-10,154304,
2004-01,166898,
2004-04,174107,
2004-07,177963,
2004-10,180100,
2005-01,187510,
2005-04,190773,
2005-07,193388,
2005-10,201193,
2006-01,208681,
2006-04,214589,
2006-07,213013,
2006-10,215724,
2007-01,220071,
2007-04,221984,
2007-07,223532,
2007-10,227913,
2008-01,224701,
2008-04,251265,
2008-07,251597,
2008-10,257286,
2009-01,263875,
2009-04,280578,
2009-07,278676,
2009-10,290776,
2010-01,297559,Provisional value
2010-04,306550,Provisional value
2010-07,313913,Provisional value
2010-10,314691,Provisional value
2011-01,312956,Provisional value
2011-04,326919,Provisional value
2011-07,332907,Provisional value
2011-10,343602,Provisional value
2012-01,353128,Provisional value
2012-04,366801,Provisional value
2012-07,365836,Provisional value
2012-10,374521,Provisional value
2013-01,371413,Provisional value
2013-04,367099,Provisional value
2013-07,362328,Provisional value
2013-10,366936,Provisional value
2014-01,362054,Provisional value
2014-04,365278,Provisional value
2014-07,374121,Provisional value
