"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.GB.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.GB.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / United Kingdom,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:04,
2009-09,47444,
2009-10,48817,
2009-11,49403,
2009-12,50627,
2010-01,51881,
2010-02,52432,
2010-03,54581,
2010-04,55178,
2010-05,54139,
2010-06,54243,
2010-07,55964,
2010-08,57528,
2010-09,59344,
2010-10,60972,
2010-11,61747,
2010-12,62757,
2011-01,62462,
2011-02,62450,
2011-03,61825,
2011-04,62429,
2011-05,63393,
2011-06,62357,
2011-07,63070,
2011-08,60193,
2011-09,59324,
2011-10,57071,
2011-11,60233,
2011-12,61637,
2012-01,63889,
2012-02,65830,
2012-03,66404,
2012-04,67692,
2012-05,67044,
2012-06,67366,
2012-07,69263,
2012-08,69154,
2012-09,68706,
2012-10,68211,
2012-11,67331,
2012-12,68024,
2013-01,65983,
2013-02,66935,
2013-03,68210,
2013-04,68723,
2013-05,68087,
2013-06,66089,
2013-07,67401,
2013-08,66835,
2013-09,67392,
2013-10,67637,
2013-11,69243,
2013-12,68753,
2014-01,67826,
2014-02,69259,
2014-03,68560,
2014-04,69528,
2014-05,71238,
2014-06,73312,
2014-07,73558,
2014-08,74895,
2014-09,76009,
2014-10,75769,
2014-11,78502,
