"",BBSF2.M.1.S.I0002.AKT01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.AKT01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Number / Pension fund institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:48:55,
2004-01,-,Nothing exists
2004-02,4,
2004-03,11,
2004-04,22,
2004-05,24,
2004-06,23,
2004-07,25,
2004-08,26,
2004-09,26,
2004-10,25,
2004-11,26,
2004-12,26,
2005-01,26,
2005-02,26,
2005-03,27,
2005-04,28,
2005-05,36,
2005-06,39,
2005-07,38,
2005-08,44,
2005-09,49,
2005-10,74,
2005-11,74,
2005-12,68,
2006-01,76,
2006-02,75,
2006-03,75,
2006-04,76,
2006-05,76,
2006-06,74,
2006-07,74,
2006-08,74,
2006-09,74,
2006-10,74,
2006-11,74,
2006-12,74,
2007-01,75,
2007-02,76,
2007-03,77,
2007-04,77,
2007-05,78,
2007-06,78,
2007-07,78,
2007-08,78,
2007-09,75,
2007-10,75,
2007-11,71,
2007-12,71,
2008-01,71,
2008-02,72,
2008-03,74,
2008-04,73,
2008-05,73,
2008-06,73,
2008-07,72,
2008-08,73,
2008-09,69,
2008-10,69,
2008-11,74,
2008-12,74,
2009-01,74,
2009-02,70,
2009-03,68,
2009-04,63,
2009-05,62,
2009-06,59,
2009-07,58,
2009-08,58,
2009-09,62,
2009-10,61,
2009-11,60,
2009-12,61,
2010-01,59,
2010-02,58,
2010-03,57,
2010-04,54,
2010-05,52,
2010-06,52,
2010-07,54,
2010-08,52,
2010-09,51,
2010-10,48,
2010-11,48,
2010-12,49,
2011-01,48,
2011-02,48,
2011-03,48,
2011-04,47,
2011-05,47,
2011-06,47,
2011-07,48,
2011-08,48,
2011-09,48,
2011-10,47,
2011-11,46,
2011-12,45,
2012-01,45,
2012-02,45,
2012-03,44,
2012-04,45,
2012-05,45,
2012-06,45,
2012-07,44,
2012-08,45,
2012-09,45,
2012-10,46,
2012-11,46,
2012-12,49,
2013-01,49,
2013-02,48,
2013-03,48,
2013-04,47,
2013-05,47,
2013-06,47,
2013-07,47,
2013-08,46,
2013-09,46,
2013-10,47,
2013-11,47,
2013-12,48,
2014-01,47,
2014-02,47,
2014-03,47,
2014-04,47,
2014-05,47,
2014-06,47,
2014-07,46,
2014-08,44,
2014-09,43,
2014-10,43,
2014-11,43,
