"",BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.R12.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:54,
1991-01,138.396,
1991-04,323.251,
1991-07,251.575,
1991-10,412.487,
1992-01,695.148,
1992-04,-56.707,
1992-07,31.638,
1992-10,41.800,
1993-01,97.793,
1993-04,234.652,
1993-07,259.729,
1993-10,371.408,
1994-01,563.121,
1994-04,319.718,
1994-07,416.875,
1994-10,647.123,
1995-01,318.468,
1995-04,610.644,
1995-07,-539.198,
1995-10,440.657,
1996-01,343.336,
1996-04,-463.254,
1996-07,290.337,
1996-10,829.462,
1997-01,-378.748,
1997-04,632.199,
1997-07,541.082,
1997-10,176.291,
1998-01,1157.066,
1998-04,575.364,
1998-07,974.813,
1998-10,1201.329,
1999-01,1129.852,
1999-04,1362.272,
1999-07,1135.353,
1999-10,795.530,
2000-01,904.823,
2000-04,753.644,
2000-07,1869.461,
2000-10,1379.488,
2001-01,1501.504,
2001-04,1612.433,
2001-07,1060.775,
2001-10,1027.653,
2002-01,1785.177,
2002-04,873.244,
2002-07,-8.252,
2002-10,-602.819,
2003-01,489.297,
2003-04,62.600,
2003-07,-700.147,
2003-10,2159.477,
2004-01,179.707,
2004-04,-127.468,
2004-07,986.372,
2004-10,1151.208,
2005-01,210.720,
2005-04,3198.669,
2005-07,697.097,
2005-10,57.998,
2006-01,3242.291,
2006-04,2149.001,
2006-07,3678.449,
2006-10,1724.596,
2007-01,3456.639,
2007-04,2788.742,
2007-07,8368.170,
2007-10,10605.069,
2008-01,2504.399,
2008-04,4152.038,
2008-07,3341.258,
2008-10,-2902.670,
2009-01,1732.088,
2009-04,1458.672,
2009-07,-633.980,
2009-10,1448.593,
2010-01,1266.812,
2010-04,1672.256,
2010-07,-1340.265,
2010-10,-3747.481,
2011-01,-3724.760,
2011-04,0.607,
2011-07,4631.205,
2011-10,4374.278,
2012-01,1883.408,
2012-04,-377.637,
2012-07,97.116,
2012-10,2523.334,
2013-01,-125.093,
2013-04,-982.062,
2013-07,-509.763,
2013-10,-815.278,
2014-01,-421.095,
2014-04,202.834,
2014-07,962.346,
2014-10,193.294,
