"",BBK01.OEAH22Q,BBK01.OEAH22Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:05,
2002-01,2.155,
2002-04,2.173,
2002-07,2.134,
2002-10,2.077,
2003-01,2.022,
2003-04,1.769,
2003-07,1.939,
2003-10,1.939,
2004-01,1.966,
2004-04,1.911,
2004-07,1.892,
2004-10,1.849,
2005-01,1.756,
2005-04,1.723,
2005-07,1.634,
2005-10,1.597,
2006-01,1.608,
2006-04,1.619,
2006-07,1.611,
2006-10,1.589,
2007-01,1.608,
2007-04,1.604,
2007-07,1.620,
2007-10,1.648,
2008-01,1.647,
2008-04,1.659,
2008-07,1.737,
2008-10,1.774,
2009-01,1.719,
2009-04,1.623,
2009-07,1.514,
2009-10,1.418,
2010-01,1.355,
2010-04,1.377,
2010-07,1.797,
2010-10,1.876,
2011-01,1.670,
2011-04,1.730,
2011-07,1.681,
2011-10,1.657,
2012-01,1.610,
2012-04,1.574,
2012-07,1.532,
2012-10,1.422,
2013-01,1.353,
2013-04,1.263,
2013-07,1.204,
2013-10,1.146,
2014-01,1.074,
2014-04,1.031,
2014-07,0.982,
