"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.AT.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.AT.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Austria / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:36,
2009-09,8208,
2009-10,8286,
2009-11,8370,
2009-12,8389,
2010-01,7984,
2010-02,8043,
2010-03,8040,
2010-04,8244,
2010-05,8542,
2010-06,8784,
2010-07,8678,
2010-08,8958,
2010-09,8795,
2010-10,8798,
2010-11,8687,
2010-12,8688,
2011-01,8122,
2011-02,8186,
2011-03,7981,
2011-04,7882,
2011-05,7991,
2011-06,8002,
2011-07,8176,
2011-08,8388,
2011-09,8803,
2011-10,8923,
2011-11,8731,
2011-12,9250,
2012-01,9839,
2012-02,10274,
2012-03,10325,
2012-04,10578,
2012-05,11057,
2012-06,11298,
2012-07,11102,
2012-08,11062,
2012-09,10801,
2012-10,10801,
2012-11,10935,
2012-12,11031,
2013-01,10732,
2013-02,10540,
2013-03,10476,
2013-04,10963,
2013-05,10873,
2013-06,10375,
2013-07,10528,
2013-08,10245,
2013-09,10467,
2013-10,10358,
2013-11,10443,
2013-12,10331,
2014-01,10764,
2014-02,10634,
2014-03,10741,
2014-04,10732,
2014-05,11177,
2014-06,11582,
2014-07,11467,
2014-08,11837,
2014-09,11563,
2014-10,10940,
2014-11,11169,
