"",BBK01.BJ9170,BBK01.BJ9170_FLAGS
"",National accounts - total general government revenue (ESA 2010) - Germany as a whole (western Germany up to and including 1990),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:55,
1970,140530,
1971,160280,
1972,177440,
1973,207710,
1974,226970,
1975,237970,
1976,267870,
1977,289120,
1978,301390,
1979,323190,
1980,346560,
1981,360090,
1982,379010,
1983,392250,
1984,412860,
1985,433490,
1986,449490,
1987,460430,
1988,478510,
1989,518390,
1990,545480,
1991,682289,"Break, comment"
1992,755716,
1993,784563,
1994,831176,
1995,858931,
1996,874557,
1997,887404,
1998,911332,
1999,949759,
2000,965275,
2001,954522,
2002,956881,
2003,968844,
2004,966664,
2005,984432,
2006,1028633,
2007,1080768,
2008,1111768,
2009,1090786,
2010,1110448,
2011,1179477,Provisional value
2012,1217837,Provisional value
2013,1249434,Provisional value
2014,1291960,Provisional value
"",General: For Germany as a whole (western Germany in ESA 95 definition up to and including 1990),
