"",BBDE1.M.DE.Y.BAA1.A2P100000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2P100000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Production sector excluding construction (B -E) / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:30,
1991-01,86.0,
1991-02,85.0,
1991-03,84.3,
1991-04,83.6,
1991-05,82.8,
1991-06,85.8,
1991-07,83.1,
1991-08,82.2,
1991-09,81.9,
1991-10,83.1,
1991-11,84.1,
1991-12,84.0,
1992-01,85.2,
1992-02,86.2,
1992-03,84.1,
1992-04,84.0,
1992-05,83.1,
1992-06,82.1,
1992-07,80.5,
1992-08,81.3,
1992-09,80.4,
1992-10,80.3,
1992-11,79.0,
1992-12,77.6,
1993-01,77.4,
1993-02,76.2,
1993-03,76.1,
1993-04,75.5,
1993-05,75.3,
1993-06,74.9,
1993-07,73.3,
1993-08,76.4,
1993-09,76.1,
1993-10,76.1,
1993-11,75.8,
1993-12,76.5,
1994-01,75.9,
1994-02,77.2,
1994-03,76.7,
1994-04,77.7,
1994-05,77.4,
1994-06,77.7,
1994-07,77.4,
1994-08,77.5,
1994-09,78.5,
1994-10,80.0,
1994-11,79.9,
1994-12,80.0,
1995-01,78.5,
1995-02,79.7,
1995-03,79.1,
1995-04,79.5,
1995-05,79.9,
1995-06,79.2,
1995-07,78.8,
1995-08,78.1,
1995-09,79.6,
1995-10,77.4,
1995-11,78.1,
1995-12,78.5,
1996-01,78.2,
1996-02,78.3,
1996-03,78.5,
1996-04,78.0,
1996-05,78.9,
1996-06,78.9,
1996-07,78.1,
1996-08,79.4,
1996-09,79.9,
1996-10,78.9,
1996-11,79.8,
1996-12,79.9,
1997-01,79.3,
1997-02,79.8,
1997-03,80.6,
1997-04,80.4,
1997-05,79.8,
1997-06,82.0,
1997-07,82.9,
1997-08,80.5,
1997-09,81.1,
1997-10,82.4,
1997-11,82.7,
1997-12,83.4,
1998-01,84.1,
1998-02,84.0,
1998-03,85.0,
1998-04,84.5,
1998-05,84.8,
1998-06,84.1,
1998-07,86.0,
1998-08,84.5,
1998-09,83.6,
1998-10,84.1,
1998-11,83.0,
1998-12,83.3,
1999-01,84.7,
1999-02,83.1,
1999-03,83.6,
1999-04,84.4,
1999-05,84.7,
1999-06,84.6,
1999-07,85.3,
1999-08,86.0,
1999-09,85.6,
1999-10,86.6,
1999-11,86.7,
1999-12,86.8,
2000-01,86.2,
2000-02,88.1,
2000-03,87.9,
2000-04,89.2,
2000-05,91.1,
2000-06,88.7,
2000-07,90.8,
2000-08,91.4,
2000-09,91.5,
2000-10,91.2,
2000-11,91.6,
2000-12,92.1,
2001-01,91.7,
2001-02,92.7,
2001-03,91.5,
2001-04,90.4,
2001-05,91.2,
2001-06,91.2,
2001-07,88.9,
2001-08,91.2,
2001-09,90.0,
2001-10,88.3,
2001-11,87.5,
2001-12,88.3,
2002-01,88.3,
2002-02,88.4,
2002-03,88.8,
2002-04,89.2,
2002-05,88.5,
2002-06,90.2,
2002-07,88.9,
2002-08,90.8,
2002-09,89.9,
2002-10,89.1,
2002-11,90.4,
2002-12,88.9,
2003-01,89.7,
2003-02,90.0,
2003-03,90.0,
2003-04,89.6,
2003-05,89.1,
2003-06,88.5,
2003-07,90.3,
2003-08,88.4,
2003-09,88.0,
2003-10,90.4,
2003-11,91.1,
2003-12,91.4,
2004-01,91.6,
2004-02,91.9,
2004-03,91.1,
