"",BBK01.OELK05O,BBK01.OELK05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:39,
2002-01,0.039,
2002-04,0.041,
2002-07,0.041,
2002-10,0.040,
2003-01,0.040,
2003-04,0.039,
2003-07,0.030,
2003-10,0.033,
2004-01,0.034,
2004-04,0.031,
2004-07,0.032,
2004-10,0.032,
2005-01,0.032,
2005-04,0.032,
2005-07,0.031,
2005-10,0.034,
2006-01,0.032,
2006-04,0.032,
2006-07,0.032,
2006-10,0.031,
2007-01,0.028,
2007-04,0.027,
2007-07,0.026,
2007-10,0.026,
2008-01,0.024,
2008-04,0.027,
2008-07,0.027,
2008-10,0.026,
2009-01,0.027,
2009-04,0.028,
2009-07,0.035,
2009-10,0.046,
2010-01,0.056,
2010-04,0.059,
2010-07,0.060,
2010-10,0.063,
2011-01,0.061,
2011-04,0.062,
2011-07,0.062,
2011-10,0.061,
2012-01,0.062,
2012-04,0.060,
2012-07,0.055,
2012-10,0.052,
2013-01,0.046,
2013-04,0.045,
2013-07,0.045,
2013-10,0.052,
2014-01,0.052,
2014-04,0.051,
2014-07,0.051,
