"",BBDE1.M.DE.Y.BAA1.A2Q202000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2Q202000.G.C.I10.A_FLAGS
"","Output in the production sector / Germany / Production sector excluding construction, 10 Manufacture of food products, 11 Manufacture of beverages and 12 Manufacture of tobacco products / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:30:01,
1991-01,86.1,
1991-02,85.5,
1991-03,84.7,
1991-04,83.9,
1991-05,82.9,
1991-06,86.3,
1991-07,83.8,
1991-08,82.4,
1991-09,81.8,
1991-10,83.5,
1991-11,84.4,
1991-12,84.2,
1992-01,85.2,
1992-02,86.9,
1992-03,84.6,
1992-04,84.2,
1992-05,83.6,
1992-06,82.2,
1992-07,80.9,
1992-08,81.4,
1992-09,80.1,
1992-10,80.2,
1992-11,78.9,
1992-12,77.3,
1993-01,77.0,
1993-02,76.0,
1993-03,75.9,
1993-04,75.1,
1993-05,75.2,
1993-06,74.6,
1993-07,73.0,
1993-08,76.2,
1993-09,75.0,
1993-10,75.6,
1993-11,75.3,
1993-12,75.8,
1994-01,75.6,
1994-02,76.9,
1994-03,76.2,
1994-04,77.4,
1994-05,77.1,
1994-06,77.2,
1994-07,77.0,
1994-08,77.1,
1994-09,77.9,
1994-10,79.6,
1994-11,79.4,
1994-12,79.9,
1995-01,78.5,
1995-02,79.1,
1995-03,78.5,
1995-04,78.8,
1995-05,79.3,
1995-06,78.7,
1995-07,78.3,
1995-08,77.2,
1995-09,78.8,
1995-10,76.6,
1995-11,77.4,
1995-12,77.9,
1996-01,77.8,
1996-02,77.3,
1996-03,77.6,
1996-04,77.1,
1996-05,78.1,
1996-06,78.2,
1996-07,77.5,
1996-08,78.6,
1996-09,79.1,
1996-10,78.0,
1996-11,79.2,
1996-12,79.3,
1997-01,78.1,
1997-02,78.9,
1997-03,79.8,
1997-04,79.7,
1997-05,78.7,
1997-06,81.6,
1997-07,82.5,
1997-08,79.8,
1997-09,80.4,
1997-10,81.8,
1997-11,82.3,
1997-12,82.7,
1998-01,83.5,
1998-02,83.5,
1998-03,84.7,
1998-04,83.8,
1998-05,84.3,
1998-06,83.8,
1998-07,85.8,
1998-08,84.1,
1998-09,83.3,
1998-10,83.8,
1998-11,82.6,
1998-12,82.7,
1999-01,84.1,
1999-02,82.7,
1999-03,83.0,
1999-04,83.7,
1999-05,84.1,
1999-06,84.1,
1999-07,84.6,
1999-08,85.5,
1999-09,85.0,
1999-10,86.1,
1999-11,86.1,
1999-12,86.2,
2000-01,85.9,
2000-02,87.6,
2000-03,87.6,
2000-04,88.5,
2000-05,90.5,
2000-06,88.4,
2000-07,90.5,
2000-08,91.1,
2000-09,91.3,
2000-10,90.9,
2000-11,91.2,
2000-12,92.1,
2001-01,91.9,
2001-02,92.6,
2001-03,91.3,
2001-04,89.9,
2001-05,90.7,
2001-06,91.0,
2001-07,88.5,
2001-08,90.7,
2001-09,89.8,
2001-10,87.8,
2001-11,87.2,
2001-12,87.8,
2002-01,87.9,
2002-02,88.0,
2002-03,88.5,
2002-04,88.7,
