"",BBK01.OEAE26L,BBK01.OEAE26L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:14,
2002-01,0.837,
2002-04,0.806,
2002-07,0.785,
2002-10,0.727,
2003-01,0.617,
2003-04,0.595,
2003-07,0.552,
2003-10,0.598,
2004-01,0.531,
2004-04,0.668,
2004-07,0.714,
2004-10,0.708,
2005-01,0.789,
2005-04,0.762,
2005-07,0.954,
2005-10,0.731,
2006-01,0.665,
2006-04,0.744,
2006-07,0.749,
2006-10,0.967,
2007-01,0.890,
2007-04,0.896,
2007-07,0.861,
2007-10,1.340,
2008-01,1.227,
2008-04,1.151,
2008-07,2.315,
2008-10,2.244,
2009-01,2.349,
2009-04,2.171,
2009-07,1.998,
2009-10,1.938,
2010-01,0.446,
2010-04,0.377,
2010-07,0.364,
2010-10,0.339,
2011-01,0.273,
2011-04,0.255,
2011-07,0.255,
2011-10,0.192,
2012-01,0.192,
2012-04,0.172,
2012-07,0.169,
2012-10,0.196,
2013-01,0.193,
2013-04,0.210,
2013-07,0.207,
2013-10,0.252,
2014-01,0.275,
2014-04,0.278,
2014-07,0.294,
