"",BBEX3.M.SDD.EUR.CA.AA.A01,BBEX3.M.SDD.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Sudan / EUR 1 = SDD ... (buying),
unit,SDD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:41,
1999-01,271.8590,
1999-02,265.9990,
1999-03,267.3590,
1999-04,264.8120,
1999-05,269.6200,
1999-06,267.5200,
1999-07,274.3900,
1999-08,269.2100,
1999-09,270.9700,
1999-10,272.1200,
1999-11,261.3400,
1999-12,259.8500,
2000-01,257.2900,
2000-02,251.6600,
2000-03,248.1000,
2000-04,241.2300,
2000-05,238.3500,
2000-06,241.5800,
2000-07,236.4800,
2000-08,231.2400,
2000-09,223.8200,
2000-10,215.2900,
2000-11,220.5500,
2000-12,241.7600,
2001-01,237.9300,
2001-02,235.6100,
2001-03,228.3700,
2001-04,228.9500,
2001-05,218.7500,
2001-06,221.4200,
2001-07,224.6600,
2001-08,234.9500,
2001-09,237.9900,
2001-10,232.3700,
2001-11,230.3600,
2001-12,229.4500,
2002-01,224.7500,
2002-02,227.2400,
2002-03,228.7100,
2002-04,234.0400,
2002-05,241.4900,
2002-06,261.0400,
2002-07,259.7300,
2002-08,258.5700,
2002-09,258.1000,
2002-10,259.4100,
2002-11,260.9000,
2002-12,271.8800,
2003-01,282.3400,
2003-02,280.2700,
2003-03,279.3200,
2003-04,289.6400,
2003-05,305.8400,
2003-06,297.0200,
2003-07,298.2600,
2003-08,282.3200,
2003-09,297.4000,
2003-10,304.9100,
2003-11,311.3500,
2003-12,324.3400,
2004-01,322.9900,
2004-02,324.3100,
2004-03,315.9000,
2004-04,307.5500,
2004-05,316.2800,
2004-06,312.4000,
2004-07,311.5800,
2004-08,310.9500,
2004-09,316.2300,
2004-10,324.5500,
2004-11,333.5200,
2004-12,340.6800,
2005-01,326.9300,
2005-02,330.3500,
2005-03,322.3500,
2005-04,321.3800,
2005-05,309.8100,
2005-06,296.9600,
2005-07,292.5300,
2005-08,295.2800,
2005-09,285.1700,
2005-10,281.7200,
2005-11,272.4500,
2005-12,272.3400,
2006-01,277.6400,
2006-02,270.0200,
2006-03,270.5300,
2006-04,281.2100,
2006-05,282.2200,
2006-06,272.6400,
2006-07,272.6800,
2006-08,270.6900,
2006-09,264.9300,
2006-10,261.3000,
2006-11,267.1600,
2006-12,264.1700,
2007-01,259.5800,
2007-02,264.2700,
2007-03,266.6100,
2007-04,273.0500,
2007-05,269.2300,
2007-06,268.8500,comment
"","General: The Sudanese pound (SDG) has been in circulation since 10 January 2007, when it was introduced at a rate of SDD 100 = SDG 1. Until 30 June 2007, exchange rates were listed in SDD (Sudanese dinar); for exchange rates from July 2007, see BBEX2:M:SDG:EUR:CA:AA:A01.",
"","Source: Bank of Sudan, Khartoum",
"",Comment on 2007-06: Listed in SDG from July 2007; see BBEX2:M:SDG:EUR:CA:AA:A01.,
