"",BBK01.OEHJ05O,BBK01.OEHJ05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:40,
2002-01,0.104,
2002-04,0.104,
2002-07,0.104,
2002-10,0.093,
2003-01,0.092,
2003-04,0.091,
2003-07,0.091,
2003-10,0.096,
2004-01,0.082,
2004-04,0.086,
2004-07,0.078,
2004-10,0.077,
2005-01,0.079,
2005-04,0.071,
2005-07,0.073,
2005-10,0.080,
2006-01,0.068,
2006-04,0.067,
2006-07,0.066,
2006-10,0.060,
2007-01,0.058,
2007-04,0.058,
2007-07,0.058,
2007-10,0.063,
2008-01,0.065,
2008-04,0.061,
2008-07,0.058,
2008-10,0.060,
2009-01,0.060,
2009-04,0.061,
2009-07,0.068,
2009-10,0.064,
2010-01,0.067,
2010-04,0.064,
2010-07,0.065,
2010-10,0.053,
2011-01,0.054,
2011-04,0.046,
2011-07,0.047,
2011-10,0.038,
2012-01,0.036,
2012-04,0.035,
2012-07,0.033,
2012-10,0.031,
2013-01,0.025,
2013-04,0.025,
2013-07,0.028,
2013-10,0.033,
2014-01,0.030,
2014-04,0.029,
2014-07,0.026,
