"",BBK01.PQU357,BBK01.PQU357_FLAGS
"",Lending to domestic enterprises / Long-term / Building and loan associations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:48,
1999-01,0.884,
1999-04,0.870,
1999-07,0.833,
1999-10,0.792,
2000-01,0.777,
2000-04,0.826,
2000-07,0.824,
2000-10,0.849,
2001-01,0.853,
2001-04,0.839,
2001-07,0.844,
2001-10,0.856,
2002-01,0.884,
2002-04,0.832,
2002-07,0.831,
2002-10,0.843,
2003-01,0.860,
2003-04,0.850,
2003-07,0.837,
2003-10,0.796,
2004-01,1.042,
2004-04,0.789,
2004-07,0.785,
2004-10,0.791,
2005-01,0.758,
2005-04,0.720,
2005-07,0.729,
2005-10,0.733,
2006-01,0.708,
2006-04,0.661,
2006-07,0.639,
2006-10,0.710,
2007-01,0.704,
2007-04,0.723,
2007-07,0.713,
2007-10,0.668,
2008-01,0.659,
2008-04,0.663,
2008-07,0.685,
2008-10,0.695,
2009-01,0.711,
2009-04,0.709,
2009-07,0.722,
2009-10,0.754,
2010-01,0.780,
2010-04,0.805,
2010-07,0.765,
2010-10,0.794,
2011-01,0.801,
2011-04,0.785,
2011-07,0.790,
2011-10,0.824,
2012-01,0.859,
2012-04,0.893,
2012-07,0.923,
2012-10,0.978,
2013-01,1.167,
2013-04,1.206,
2013-07,1.205,
2013-10,1.271,
2014-01,1.274,
2014-04,1.325,
2014-07,1.309,
2014-10,1.318,
