"",BBFB1.Q.N.DE.GR.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:33,
1991-01,53.826,
1991-04,-155.140,
1991-07,-513.707,
1991-10,-56.950,
1992-01,309.611,
1992-04,-108.556,
1992-07,-424.356,
1992-10,-19.859,
1993-01,151.536,
1993-04,-229.983,
1993-07,-571.104,
1993-10,-3.180,
1994-01,78.224,
1994-04,-302.651,
1994-07,-791.651,
1994-10,-333.984,
1995-01,35.071,
1995-04,-212.464,
1995-07,-678.170,
1995-10,-260.654,
1996-01,-8.144,
1996-04,-287.289,
1996-07,-539.381,
1996-10,-207.198,
1997-01,188.648,
1997-04,-145.708,
1997-07,-550.056,
1997-10,29.007,
1998-01,176.333,
1998-04,19.978,
1998-07,-374.821,
1998-10,107.962,
1999-01,391.619,
1999-04,8.319,
1999-07,-446.564,
1999-10,194.566,
2000-01,583.475,
2000-04,97.701,
2000-07,-369.512,
2000-10,218.349,
2001-01,715.831,
2001-04,422.673,
2001-07,-19.195,
2001-10,488.225,
2002-01,840.783,
2002-04,98.713,
2002-07,-269.047,
2002-10,468.540,
2003-01,770.221,
2003-04,223.210,
2003-07,-74.020,
2003-10,734.414,
2004-01,1214.454,
2004-04,618.011,
2004-07,254.447,
2004-10,950.045,
2005-01,1086.568,
2005-04,865.354,
2005-07,258.284,
2005-10,1111.104,
2006-01,1344.407,
2006-04,1027.300,
2006-07,588.821,
2006-10,1336.604,
2007-01,1640.089,
2007-04,1243.861,
2007-07,398.729,
2007-10,1427.702,
2008-01,1566.674,
2008-04,1200.437,
2008-07,607.574,
2008-10,1565.400,
2009-01,1397.719,
2009-04,971.248,
2009-07,706.870,
2009-10,1321.157,
2010-01,1129.792,
2010-04,521.574,
2010-07,291.429,
2010-10,1274.935,
2011-01,969.067,
2011-04,436.598,
2011-07,-129.467,
2011-10,352.425,
2012-01,634.734,
2012-04,265.624,
2012-07,-328.442,
2012-10,266.937,
2013-01,609.154,
2013-04,282.959,
2013-07,-73.443,
2013-10,327.950,
2014-01,672.784,Provisional value
2014-04,245.162,Provisional value
2014-07,-363.266,Provisional value
