"",BBK01.OEBJ04K,BBK01.OEBJ04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:24,
2002-01,2.096,
2002-04,1.974,
2002-07,1.971,
2002-10,2.607,
2003-01,2.194,
2003-04,2.142,
2003-07,2.888,
2003-10,2.547,
2004-01,2.154,
2004-04,2.003,
2004-07,2.183,
2004-10,2.647,
2005-01,2.171,
2005-04,2.173,
2005-07,2.331,
2005-10,2.710,
2006-01,2.890,
2006-04,3.282,
2006-07,3.051,
2006-10,3.106,
2007-01,4.185,
2007-04,4.082,
2007-07,4.189,
2007-10,4.887,
2008-01,4.487,
2008-04,4.724,
2008-07,5.067,
2008-10,4.461,
2009-01,4.645,
2009-04,4.484,
2009-07,3.748,
2009-10,3.861,
2010-01,3.865,
2010-04,3.914,
2010-07,3.833,
2010-10,4.707,
2011-01,3.995,
2011-04,4.193,
2011-07,4.673,
2011-10,4.825,
2012-01,4.904,
2012-04,4.622,
2012-07,4.547,
2012-10,4.501,
2013-01,4.603,
2013-04,3.644,
2013-07,3.131,
2013-10,3.416,
2014-01,3.523,
2014-04,3.336,
2014-07,3.390,
