"",BBFN1.M.DE.N.1.L.E1.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.E1.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:40,
1995-01,82.899,
1995-02,82.530,
1995-03,84.819,
1995-04,83.910,
1995-05,85.447,
1995-06,84.624,
1995-07,85.683,
1995-08,85.860,
1995-09,87.215,
1995-10,87.415,
1995-11,88.552,
1995-12,85.572,
1996-01,84.966,
1996-02,88.082,
1996-03,87.127,
1996-04,87.662,
1996-05,91.203,
1996-06,88.170,
1996-07,86.842,
1996-08,87.443,
1996-09,91.515,
1996-10,91.625,
1996-11,92.468,
1996-12,92.367,
1997-01,90.073,
1997-02,93.616,
1997-03,95.421,
1997-04,96.574,
1997-05,96.499,
1997-06,99.268,
1997-07,101.452,
1997-08,98.518,
1997-09,99.438,
1997-10,102.740,
1997-11,101.038,
1997-12,105.248,
1998-01,104.391,
1998-02,105.635,
1998-03,110.461,
1998-04,116.076,
1998-05,117.310,
1998-06,115.041,
1998-07,115.351,
1998-08,116.002,
1998-09,115.257,
1998-10,119.767,
1998-11,119.118,
1998-12,117.938,
1999-01,119.584,
1999-02,120.615,
1999-03,124.917,
1999-04,127.868,
1999-05,132.740,
1999-06,138.888,
1999-07,144.219,
1999-08,149.962,
1999-09,151.786,
1999-10,159.173,
1999-11,161.598,
1999-12,176.943,
2000-01,184.785,
2000-02,193.511,
2000-03,195.911,
2000-04,198.329,
2000-05,206.609,
2000-06,217.399,
2000-07,222.460,
2000-08,240.377,
2000-09,269.639,
2000-10,278.341,
2000-11,270.713,
2000-12,305.983,
2001-01,319.745,
2001-02,323.375,
2001-03,315.758,
2001-04,320.925,
2001-05,316.452,
2001-06,321.462,
2001-07,335.682,
2001-08,342.900,
2001-09,348.034,
2001-10,349.965,
2001-11,347.038,
2001-12,350.616,
2002-01,356.927,
2002-02,367.074,
2002-03,363.945,
2002-04,375.442,
2002-05,389.502,
2002-06,382.013,
2002-07,379.686,
2002-08,380.534,
2002-09,387.126,
2002-10,389.893,
2002-11,389.784,
2002-12,385.098,
2003-01,391.877,
2003-02,394.438,
2003-03,391.329,
2003-04,398.814,
2003-05,402.846,
2003-06,408.892,
2003-07,411.488,
2003-08,415.607,
2003-09,413.015,
2003-10,402.804,
2003-11,408.798,
2003-12,400.649,
2004-01,401.717,
2004-02,384.357,
2004-03,375.010,
2004-04,373.135,
2004-05,374.902,
2004-06,377.057,
2004-07,377.191,
2004-08,375.617,
2004-09,369.868,
2004-10,362.002,
2004-11,356.884,
2004-12,352.030,
2005-01,352.339,
2005-02,356.773,
2005-03,356.403,
2005-04,351.311,
2005-05,356.756,
2005-06,360.315,
2005-07,357.596,
2005-08,361.734,
2005-09,367.245,
2005-10,374.839,
2005-11,377.317,
2005-12,388.652,
2006-01,394.704,
2006-02,408.029,
2006-03,410.699,
2006-04,410.002,
2006-05,420.040,
2006-06,427.420,
2006-07,426.879,
2006-08,429.789,
2006-09,449.086,
2006-10,447.307,
2006-11,452.545,
2006-12,449.958,
2007-01,460.295,
2007-02,468.383,
2007-03,463.187,
2007-04,466.070,
2007-05,472.400,
2007-06,480.792,
2007-07,476.705,
2007-08,474.944,
2007-09,480.257,
2007-10,473.635,
2007-11,467.851,
2007-12,457.472,
2008-01,460.867,
2008-02,468.464,
2008-03,474.005,
2008-04,478.704,
2008-05,481.346,
2008-06,488.291,
2008-07,477.797,
2008-08,478.601,
2008-09,485.327,
2008-10,501.139,
2008-11,502.945,
2008-12,509.284,
2009-01,509.630,
2009-02,518.661,
2009-03,518.901,
2009-04,527.586,
2009-05,524.974,
2009-06,524.414,
2009-07,522.588,
2009-08,527.799,
2009-09,526.420,
2009-10,528.894,
2009-11,528.473,
2009-12,547.404,
2010-01,527.809,
2010-02,529.825,
2010-03,537.257,
2010-04,538.464,
2010-05,546.275,
2010-06,548.277,
2010-07,559.714,
2010-08,565.871,
2010-09,573.360,
2010-10,566.325,
2010-11,569.920,
2010-12,580.699,
2011-01,586.158,
2011-02,575.593,
2011-03,578.109,
2011-04,584.495,
2011-05,591.680,
2011-06,600.264,
2011-07,612.082,
2011-08,621.415,
2011-09,636.174,
2011-10,617.426,
2011-11,620.291,
2011-12,623.429,
2012-01,623.846,
2012-02,620.629,
2012-03,640.971,
2012-04,650.540,
2012-05,655.849,
2012-06,667.474,
2012-07,663.635,
2012-08,654.183,
2012-09,661.542,
2012-10,661.362,
2012-11,666.226,
2012-12,659.880,
2013-01,663.108,
2013-02,659.845,
2013-03,676.527,
2013-04,703.912,
2013-05,700.636,
2013-06,708.541,
2013-07,697.899,
2013-08,684.213,
2013-09,690.513,
2013-10,685.118,
2013-11,685.896,
2013-12,668.804,
2014-01,670.971,
2014-02,672.444,
2014-03,679.867,
2014-04,683.700,
2014-05,687.369,
2014-06,694.029,
2014-07,700.447,
2014-08,698.986,
2014-09,684.797,
2014-10,678.837,
2014-11,684.257,
2014-12,665.589,
