"",BBK01.OEYI04M,BBK01.OEYI04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:56,
2002-01,5.043,
2002-04,5.622,
2002-07,5.113,
2002-10,3.652,
2003-01,3.697,
2003-04,3.907,
2003-07,3.461,
2003-10,2.358,
2004-01,2.331,
2004-04,2.428,
2004-07,1.955,
2004-10,2.082,
2005-01,1.405,
2005-04,1.404,
2005-07,1.768,
2005-10,2.039,
2006-01,2.336,
2006-04,2.177,
2006-07,3.277,
2006-10,2.778,
2007-01,3.427,
2007-04,2.166,
2007-07,3.104,
2007-10,5.469,
2008-01,6.337,
2008-04,6.229,
2008-07,7.430,
2008-10,9.504,
2009-01,7.774,
2009-04,8.379,
2009-07,8.560,
2009-10,5.870,
2010-01,6.516,
2010-04,6.215,
2010-07,8.699,
2010-10,6.112,
2011-01,7.959,
2011-04,7.659,
2011-07,8.804,
2011-10,10.460,
2012-01,11.423,
2012-04,13.625,
2012-07,9.303,
2012-10,9.654,
2013-01,5.876,
2013-04,7.554,
2013-07,3.925,
2013-10,5.520,
2014-01,6.555,
2014-04,5.735,
2014-07,7.481,
