"",BBK01.OEYL02I,BBK01.OEYL02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:01,
2002-01,2.941,
2002-04,3.046,
2002-07,2.888,
2002-10,2.962,
2003-01,2.969,
2003-04,2.913,
2003-07,5.187,
2003-10,5.216,
2004-01,5.300,
2004-04,5.387,
2004-07,5.336,
2004-10,5.406,
2005-01,5.373,
2005-04,5.425,
2005-07,5.274,
2005-10,5.379,
2006-01,5.605,
2006-04,5.729,
2006-07,5.714,
2006-10,3.645,
2007-01,3.581,
2007-04,3.653,
2007-07,3.584,
2007-10,3.670,
2008-01,3.616,
2008-04,3.748,
2008-07,3.711,
2008-10,3.870,
2009-01,4.732,
2009-04,5.129,
2009-07,5.630,
2009-10,6.109,
2010-01,6.442,
2010-04,6.746,
2010-07,6.815,
2010-10,6.853,
2011-01,6.732,
2011-04,6.896,
2011-07,6.887,
2011-10,7.080,
2012-01,7.230,
2012-04,7.415,
2012-07,7.551,
2012-10,7.668,
2013-01,7.739,
2013-04,7.866,
2013-07,7.956,
2013-10,8.146,
2014-01,8.307,
2014-04,8.589,
2014-07,8.759,
