"",BBFN1.M.DE.N.1.L.TR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Turkey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:47,
1994-07,0.954,
1994-08,0.979,
1994-09,0.955,
1994-10,0.859,
1994-11,0.719,
1994-12,0.620,
1995-01,0.628,
1995-02,0.644,
1995-03,0.691,
1995-04,0.627,
1995-05,0.678,
1995-06,0.672,
1995-07,0.683,
1995-08,0.651,
1995-09,0.692,
1995-10,0.710,
1995-11,0.706,
1995-12,0.700,
1996-01,0.706,
1996-02,0.764,
1996-03,0.794,
1996-04,0.837,
1996-05,0.853,
1996-06,0.849,
1996-07,0.867,
1996-08,0.903,
1996-09,0.891,
1996-10,0.918,
1996-11,0.934,
1996-12,0.963,
1997-01,0.972,
1997-02,1.007,
1997-03,1.046,
1997-04,1.072,
1997-05,1.157,
1997-06,1.110,
1997-07,0.900,
1997-08,0.934,
1997-09,1.006,
1997-10,0.984,
1997-11,1.037,
1997-12,1.010,
1998-01,1.007,
1998-02,1.036,
1998-03,1.092,
1998-04,1.038,
1998-05,1.068,
1998-06,1.031,
1998-07,1.043,
1998-08,1.053,
1998-09,1.032,
1998-10,1.073,
1998-11,1.082,
1998-12,0.929,
1999-01,0.930,
1999-02,1.098,
1999-03,1.116,
1999-04,1.114,
1999-05,1.123,
1999-06,0.986,
1999-07,1.015,
1999-08,1.060,
1999-09,0.998,
1999-10,1.027,
1999-11,1.026,
1999-12,0.997,
2000-01,0.964,
2000-02,1.008,
2000-03,1.052,
2000-04,1.036,
2000-05,1.114,
2000-06,1.117,
2000-07,1.290,
2000-08,1.442,
2000-09,1.415,
2000-10,1.423,
2000-11,1.451,
2000-12,1.483,
2001-01,1.432,
2001-02,1.435,
2001-03,1.556,
2001-04,1.520,
2001-05,1.632,
2001-06,1.660,
2001-07,1.467,
2001-08,1.678,
2001-09,1.790,
2001-10,1.803,
2001-11,1.807,
2001-12,1.947,
2002-01,1.830,
2002-02,1.843,
2002-03,1.789,
2002-04,1.536,
2002-05,1.809,
2002-06,1.771,
2002-07,1.752,
2002-08,1.790,
2002-09,1.850,
2002-10,1.999,
2002-11,1.948,
2002-12,1.731,
2003-01,1.670,
2003-02,1.668,
2003-03,1.687,
2003-04,1.702,
2003-05,1.724,
2003-06,1.734,
2003-07,1.772,
2003-08,1.828,
2003-09,1.590,
2003-10,1.560,
2003-11,1.564,
2003-12,1.249,
2004-01,1.211,
2004-02,1.214,
2004-03,1.205,
2004-04,1.147,
2004-05,1.231,
2004-06,1.291,
2004-07,1.353,
2004-08,1.671,
2004-09,1.654,
2004-10,1.700,
2004-11,1.538,
2004-12,1.578,
2005-01,1.542,
2005-02,1.450,
2005-03,1.610,
2005-04,1.570,
2005-05,1.559,
2005-06,1.558,
2005-07,1.555,
2005-08,1.558,
2005-09,1.698,
2005-10,1.658,
2005-11,1.653,
2005-12,1.537,
2006-01,1.427,
2006-02,1.462,
2006-03,1.538,
2006-04,1.504,
2006-05,1.532,
2006-06,1.512,
2006-07,1.512,
2006-08,1.513,
2006-09,1.576,
2006-10,1.572,
2006-11,1.586,
2006-12,1.602,
2007-01,1.544,
2007-02,1.482,
2007-03,1.495,
2007-04,1.562,
2007-05,1.577,
2007-06,1.689,
2007-07,1.653,
2007-08,1.605,
2007-09,1.599,
2007-10,1.597,
2007-11,1.645,
2007-12,1.614,
2008-01,1.368,
2008-02,1.452,
2008-03,1.520,
2008-04,1.469,
2008-05,1.488,
2008-06,1.559,
2008-07,1.512,
2008-08,1.505,
2008-09,1.530,
2008-10,1.398,
2008-11,1.377,
2008-12,1.305,
2009-01,1.277,
2009-02,1.321,
2009-03,1.344,
2009-04,1.333,
2009-05,1.357,
2009-06,1.435,
2009-07,1.449,
2009-08,1.450,
2009-09,1.406,
2009-10,1.474,
2009-11,1.488,
2009-12,1.216,
2010-01,1.151,
2010-02,1.221,
2010-03,1.273,
2010-04,1.319,
2010-05,1.371,
2010-06,1.397,
2010-07,1.403,
2010-08,1.394,
2010-09,1.378,
2010-10,1.450,
2010-11,1.314,
2010-12,1.286,
2011-01,1.243,
2011-02,1.275,
2011-03,1.262,
2011-04,1.282,
2011-05,1.258,
2011-06,1.275,
2011-07,1.292,
2011-08,1.338,
2011-09,1.359,
2011-10,1.860,
2011-11,1.809,
2011-12,1.830,
2012-01,1.802,
2012-02,1.873,
2012-03,1.904,
2012-04,1.828,
2012-05,1.859,
2012-06,1.976,
2012-07,1.937,
2012-08,1.915,
2012-09,1.974,
2012-10,2.012,
2012-11,2.064,
2012-12,2.083,
2013-01,2.029,
2013-02,2.083,
2013-03,2.151,
2013-04,2.278,
2013-05,2.324,
2013-06,2.374,
2013-07,2.287,
2013-08,2.257,
2013-09,2.293,
2013-10,2.348,
2013-11,2.489,
2013-12,2.611,
2014-01,2.605,
2014-02,2.632,
2014-03,2.548,
2014-04,2.739,
2014-05,2.629,
2014-06,2.655,
2014-07,2.624,
2014-08,2.592,
2014-09,2.660,
2014-10,2.668,
2014-11,2.664,
2014-12,2.608,
