"",BBFB1.Q.N.DE.BE.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:58,
1991-01,12.951,
1991-04,-1177.785,
1991-07,-777.876,
1991-10,2103.919,
1992-01,126.518,
1992-04,-1264.802,
1992-07,-514.516,
1992-10,-521.748,
1993-01,2358.910,
1993-04,-41.608,
1993-07,-512.594,
1993-10,2601.306,
1994-01,-1308.867,
1994-04,-870.315,
1994-07,-494.305,
1994-10,-531.126,
1995-01,1506.648,
1995-04,415.044,
1995-07,-1489.031,
1995-10,332.389,
1996-01,693.432,
1996-04,66.918,
1996-07,559.687,
1996-10,-1417.076,
1997-01,1384.376,
1997-04,-689.055,
1997-07,-51.691,
1997-10,-268.534,
1998-01,-590.363,
1998-04,1592.782,
1998-07,-581.366,
1998-10,2658.142,
1999-01,-30247.418,
1999-04,-33308.015,
1999-07,64735.092,
1999-10,-3095.710,
2000-01,-5382.406,
2000-04,9719.419,
2000-07,18764.761,
2000-10,-9582.867,
2001-01,2141.613,
2001-04,1322.303,
2001-07,651.223,
2001-10,-13.711,
2002-01,1857.769,
2002-04,-3592.601,
2002-07,2938.746,
2002-10,-2623.122,
2003-01,4169.349,
2003-04,5233.366,
2003-07,-3831.688,
2003-10,-973.034,
2004-01,88.272,
2004-04,4962.948,
2004-07,-6661.649,
2004-10,-1673.153,
2005-01,4683.882,
2005-04,-3665.406,
2005-07,681.530,
2005-10,-2270.560,
2006-01,7921.356,
2006-04,234.567,
2006-07,-7415.347,
2006-10,-1254.047,
2007-01,-2717.491,
2007-04,4299.666,
2007-07,-833.838,
2007-10,-2857.952,
2008-01,7518.412,
2008-04,5483.795,
2008-07,-2243.285,
2008-10,-5106.487,
2009-01,1858.928,
2009-04,1797.432,
2009-07,-247.610,
2009-10,2552.453,
2010-01,-795.897,
2010-04,3029.633,
2010-07,-3239.286,
2010-10,-183.383,
2011-01,1848.660,
2011-04,9007.316,
2011-07,19401.426,
2011-10,-20073.962,
2012-01,-1661.265,
2012-04,-4516.082,
2012-07,-1760.038,
2012-10,-12819.349,
2013-01,8096.376,
2013-04,1826.259,
2013-07,-2238.053,
2013-10,-5159.898,
2014-01,-845.666,Provisional value
2014-04,619.653,Provisional value
2014-07,3125.369,Provisional value
2014-10,-5393.785,Provisional value
