"",BBK01.OEBB04N,BBK01.OEBB04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:38,
2002-01,96.837,
2002-04,98.629,
2002-07,98.640,
2002-10,98.330,
2003-01,95.556,
2003-04,97.266,
2003-07,97.595,
2003-10,98.251,
2004-01,96.935,
2004-04,98.591,
2004-07,99.717,
2004-10,59.874,
2005-01,72.045,
2005-04,73.123,
2005-07,73.916,
2005-10,73.368,
2006-01,72.501,
2006-04,73.627,
2006-07,73.331,
2006-10,73.545,
2007-01,73.305,
2007-04,74.348,
2007-07,74.877,
2007-10,76.147,
2008-01,77.592,
2008-04,81.235,
2008-07,83.845,
2008-10,84.210,
2009-01,83.230,
2009-04,86.286,
2009-07,86.689,
2009-10,86.156,
2010-01,86.375,
2010-04,82.640,
2010-07,82.608,
2010-10,83.473,
2011-01,83.290,
2011-04,82.941,
2011-07,82.988,
2011-10,82.958,
2012-01,82.435,
2012-04,82.889,
2012-07,83.286,
2012-10,84.578,
2013-01,84.567,
2013-04,84.677,
2013-07,85.526,
2013-10,85.424,
2014-01,85.896,
2014-04,85.245,
2014-07,85.445,
