"",BBK01.OEAC49N,BBK01.OEAC49N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:51,
2002-01,7.499,
2002-04,7.479,
2002-07,7.525,
2002-10,7.414,
2003-01,7.297,
2003-04,7.234,
2003-07,7.255,
2003-10,6.930,
2004-01,6.780,
2004-04,6.703,
2004-07,6.653,
2004-10,6.411,
2005-01,6.418,
2005-04,6.375,
2005-07,6.275,
2005-10,6.244,
2006-01,6.508,
2006-04,6.540,
2006-07,6.450,
2006-10,6.441,
2007-01,6.399,
2007-04,6.373,
2007-07,6.436,
2007-10,6.550,
2008-01,6.552,
2008-04,6.406,
2008-07,6.469,
2008-10,7.513,
2009-01,9.268,
2009-04,9.194,
2009-07,9.153,
2009-10,8.983,
2010-01,9.038,
2010-04,9.108,
2010-07,8.791,
2010-10,8.819,
2011-01,8.667,
2011-04,8.620,
2011-07,8.654,
2011-10,8.602,
2012-01,8.550,
2012-04,8.693,
2012-07,8.670,
2012-10,8.930,
2013-01,8.756,
2013-04,8.620,
2013-07,8.562,
2013-10,8.468,
2014-01,8.528,
2014-04,8.559,
2014-07,8.654,
