"",BBSF2.M.1.T.00000.SON01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.SON01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Other funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:31,
2009-09,102,
2009-10,212,
2009-11,676,
2009-12,576,
2010-01,315,
2010-02,342,
2010-03,511,
2010-04,591,
2010-05,560,
2010-06,652,
2010-07,872,
2010-08,732,
2010-09,964,
2010-10,724,
2010-11,1008,
2010-12,694,
2011-01,905,
2011-02,1027,
2011-03,1142,
2011-04,1031,
2011-05,1251,
2011-06,1193,
2011-07,956,
2011-08,1049,
2011-09,1032,
2011-10,1631,
2011-11,2195,
2011-12,1759,
2012-01,1802,
2012-02,1614,
2012-03,1633,
2012-04,1662,
2012-05,1681,
2012-06,1814,
2012-07,2031,
2012-08,1909,
2012-09,2011,
2012-10,2088,
2012-11,2639,
2012-12,1756,
2013-01,1668,
2013-02,1542,
2013-03,1795,
2013-04,1844,
2013-05,1613,
2013-06,1549,
2013-07,1672,
2013-08,1612,
2013-09,1787,
2013-10,2012,
2013-11,1702,
2013-12,1515,
2014-01,1722,
2014-02,1713,
2014-03,1843,
2014-04,1909,
2014-05,1940,
2014-06,1912,
2014-07,1994,
2014-08,2031,
2014-09,2219,
2014-10,2032,
2014-11,1971,
