"",BBEX3.D.RON.USD.CA.AC.000,BBEX3.D.RON.USD.CA.AC.000_FLAGS
"",Exchange rates for the US dollar in Romania / USD 1 = RON ... (middle),
unit,RON (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:51:27,
2005-07-01,2.9891,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,3.0216,
2005-07-05,3.0223,
2005-07-06,3.0219,
2005-07-07,2.9980,
2005-07-08,3.0117,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,2.9804,
2005-07-12,2.9350,
2005-07-13,2.9329,
2005-07-14,2.9532,
2005-07-15,2.9470,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,2.9527,
2005-07-19,2.9711,
2005-07-20,2.9467,
2005-07-21,2.9297,
2005-07-22,2.9207,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,2.9425,
2005-07-26,2.9543,
2005-07-27,2.9409,
2005-07-28,2.9162,
2005-07-29,2.9164,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,2.8672,
2005-08-02,2.8459,
2005-08-03,2.8095,
2005-08-04,2.7988,
2005-08-05,2.7904,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,2.7702,
2005-08-09,2.7693,
2005-08-10,2.7414,
2005-08-11,2.7898,
2005-08-12,2.8378,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,2.8846,
2005-08-16,2.9099,
2005-08-17,2.9228,
2005-08-18,2.9256,
2005-08-19,2.9255,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,2.9034,
2005-08-23,2.8721,
2005-08-24,2.8778,
2005-08-25,2.8522,
2005-08-26,2.8734,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,2.8669,
2005-08-30,2.8683,
2005-08-31,2.8750,
2005-09-01,2.8388,
2005-09-02,2.7957,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,2.7954,
2005-09-06,2.8074,
2005-09-07,2.8009,
2005-09-08,2.8205,
2005-09-09,2.8109,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,2.8377,
2005-09-13,2.8459,
2005-09-14,2.8493,
2005-09-15,2.8474,
2005-09-16,2.8337,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,2.8674,
2005-09-20,2.8690,
2005-09-21,2.8573,
2005-09-22,2.8796,
2005-09-23,2.9427,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,2.9489,
2005-09-27,2.9287,
2005-09-28,2.9488,
2005-09-29,2.9402,
2005-09-30,2.9585,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,2.9765,
2005-10-04,2.9726,
2005-10-05,2.9743,
2005-10-06,2.9638,
2005-10-07,2.9516,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,2.9642,
2005-10-11,2.9856,
2005-10-12,2.9935,
2005-10-13,3.0228,
2005-10-14,3.0100,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,3.0009,
2005-10-18,3.0102,
2005-10-19,3.0112,
2005-10-20,3.0119,
2005-10-21,3.0045,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,3.0118,
2005-10-25,2.9984,
2005-10-26,2.9880,
2005-10-27,2.9854,
2005-10-28,2.9842,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,3.0259,
2005-11-01,3.0477,
2005-11-02,3.0420,
2005-11-03,3.0329,
2005-11-04,3.0697,
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,3.1211,
2005-11-08,3.1384,
2005-11-09,3.1200,
2005-11-10,3.0809,
2005-11-11,3.0967,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,3.0979,
2005-11-15,3.1093,
2005-11-16,3.1167,
2005-11-17,3.1105,
2005-11-18,3.1150,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,3.0950,
2005-11-22,3.1309,
2005-11-23,3.1037,
2005-11-24,3.0939,
2005-11-25,3.1104,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,3.1227,
2005-11-29,3.0854,
2005-11-30,3.1024,
2005-12-01,3.1024,
2005-12-02,3.1263,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,3.1231,
2005-12-06,3.1047,
2005-12-07,3.1217,
2005-12-08,3.1015,
2005-12-09,3.0855,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,3.0650,
2005-12-13,3.0568,
2005-12-14,3.0397,
2005-12-15,3.0339,
2005-12-16,3.0520,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,3.0390,
2005-12-20,3.0555,
2005-12-21,3.0790,
2005-12-22,3.0963,
2005-12-23,3.0831,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,.,No value available
2005-12-27,3.0886,
2005-12-28,3.0956,
2005-12-29,3.1160,
2005-12-30,3.1078,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,.,No value available
2006-01-03,3.0930,
2006-01-04,3.0482,
2006-01-05,3.0490,
2006-01-06,3.0454,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,3.0384,
2006-01-10,3.0169,
2006-01-11,3.0097,
2006-01-12,2.9963,
2006-01-13,3.0095,
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,2.9925,
2006-01-17,3.0111,
2006-01-18,3.0110,
2006-01-19,3.0175,
2006-01-20,3.0186,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,2.9595,
2006-01-24,2.9574,
2006-01-25,2.9538,
2006-01-26,2.9545,
2006-01-27,2.9718,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,2.9877,
2006-01-31,2.9874,
2006-02-01,2.9839,
2006-02-02,2.9855,
2006-02-03,2.9876,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,3.0008,
2006-02-07,2.9903,
2006-02-08,2.9886,
2006-02-09,2.9649,
2006-02-10,2.9570,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,2.9672,
2006-02-14,2.9678,
2006-02-15,2.9631,
2006-02-16,2.9700,
2006-02-17,2.9539,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,2.9340,
