"",BBEX3.M.DJF.EUR.CA.AA.A01,BBEX3.M.DJF.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Djibouti / EUR 1 = DJF ... (buying),
unit,DJF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:58,
1999-01,199.72,
1999-02,193.40,
1999-03,187.59,
1999-04,186.20,
1999-05,183.07,
1999-06,181.61,
1999-07,186.76,
1999-08,184.02,
1999-09,187.41,
1999-10,182.62,
1999-11,177.55,
1999-12,176.92,
2000-01,172.51,
2000-02,170.60,
2000-03,167.66,
2000-04,157.93,
2000-05,163.69,
2000-06,165.72,
2000-07,162.28,
2000-08,157.14,
2000-09,155.40,
2000-10,157.14,
2000-11,150.99,
2000-12,162.28,
2001-01,162.89,
2001-02,161.24,
2001-03,155.89,
2001-04,156.56,
2001-05,150.14,
2001-06,151.61,
2001-07,153.81,
2001-08,159.63,
2001-09,159.81,
2001-10,159.81,
2001-11,155.96,
2001-12,154.28,
2002-01,151.96,
2002-02,151.87,
2002-03,152.35,
2002-04,158.94,
2002-05,164.92,
2002-06,172.88,
2002-07,173.14,
2002-08,172.95,
2002-09,172.95,
2002-10,173.53,
2002-11,174.22,
2002-12,183.53,
2003-01,190.36,
2003-02,189.86,
2003-03,190.45,
2003-04,195.61,
2003-05,206.82,
2003-06,200.99,
2003-07,199.85,
2003-08,192.38,
2003-09,204.29,
2003-10,205.23,
2003-11,209.83,
2003-12,219.51,
2004-01,219.87,
2004-02,218.55,
2004-03,215.25,
2004-04,208.00,
2004-05,214.93,
2004-06,212.69,
2004-07,212.28,
2004-08,212.44,
2004-09,216.78,
2004-10,223.90,
2004-11,233.15,
2004-12,238.86,
2005-01,229.04,
2005-02,233.40,
2005-03,227.36,
2005-04,227.33,
2005-05,218.99,
2005-06,212.62,
2005-07,212.06,
2005-08,214.93,
2005-09,211.84,
2005-10,211.97,
2005-11,207.22,
2005-12,208.35,
2006-01,212.76,
2006-02,206.90,
2006-03,212.19,
2006-04,221.02,
2006-05,226.25,
2006-06,220.28,
2006-07,224.13,
2006-08,225.26,
2006-09,223.41,
2006-10,223.27,
2006-11,231.18,
2006-12,230.31,
2007-01,227.55,
2007-02,232.06,
2007-03,233.96,
2007-04,239.54,
2007-05,235.88,
2007-06,236.43,
2007-07,240.85,
2007-08,239.88,
2007-09,248.33,
2007-10,253.65,
2007-11,260.47,
2007-12,257.31,
2008-01,260.75,
2008-02,265.40,
2008-03,277.71,
2008-04,273.53,
2008-05,275.01,
2008-06,274.79,
2008-07,273.90,
2008-08,260.56,comment
2008-09,254.76,
2008-10,232.11,
2008-11,225.05,comment
2008-12,246.10,comment
2009-01,230.33,
2009-02,223.78,
2009-03,232.73,
2009-04,233.01,
2009-05,247.39,
2009-06,247.93,
2009-07,246.87,
2009-08,251.13,
2009-09,256.77,
2009-10,258.56,
2009-11,264.82,
2009-12,251.55,
2010-01,241.80,
2010-02,236.53,
2010-03,235.47,
2010-04,230.20,
2010-05,216.37,
2010-06,212.75,
2010-07,226.70,
2010-08,222.19,
2010-09,239.28,
2010-10,243.70,
2010-11,230.77,
2010-12,232.66,
2011-01,238.77,
2011-02,241.41,
2011-03,248.33,
2011-04,261.14,
2011-05,252.49,
2011-06,254.81,
2011-07,251.62,
2011-08,254.46,
2011-09,239.03,
2011-10,247.20,
2011-11,232.64,
2011-12,226.86,
2012-01,231.51,
2012-02,236.65,
2012-03,233.98,
2012-04,234.22,
2012-05,217.28,
2012-06,219.83,
2012-07,215.66,
2012-08,220.13,
2012-09,224.63,
2012-10,227.60,
2012-11,227.48,
2012-12,232.22,
2013-01,238.27,
2013-02,230.81,
2013-03,223.67,
2013-04,229.96,
2013-05,227.55,
2013-06,227.36,
2013-07,232.80,
2013-08,234.15,
2013-09,237.15,
2013-10,240.78,
2013-11,238.45,
2013-12,242.24,
2014-01,239.72,
2014-02,240.35,
2014-03,241.43,
2014-04,242.48,
2014-05,238.94,
2014-06,239.61,
2014-07,235.23,
2014-08,229.41,
2014-09,222.83,
2014-10,221.53,
2014-11,217.50,
2014-12,213.55,
2015-01,197.77,
"","Source: Banque pour le Commerce et l'Industrie, Mer Rouge, Djibouti.",
"",Comment on 2008-08: Euro exchange rate not available; the comparative rate was calculated using the US dollar exchange rate in Djibouti in conjunction with the ECB's euro reference exchange rate for the US dollar.,
"",Comment on 2008-11: Euro exchange rate not available; the comparative rate was calculated using the US dollar exchange rate in Djibouti in conjunction with the ECB's euro reference exchange rate for the US dollar.,
"",Comment on 2008-12: Euro exchange rate not available; the comparative rate was calculated using the US dollar exchange rate in Djibouti in conjunction with the ECB's euro reference exchange rate for the US dollar.,
