"",BBK01.OEAC46P,BBK01.OEAC46P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:30,
2002-01,5.995,
2002-04,6.043,
2002-07,6.054,
2002-10,6.141,
2003-01,6.203,
2003-04,6.194,
2003-07,6.160,
2003-10,6.283,
2004-01,6.270,
2004-04,6.321,
2004-07,6.342,
2004-10,6.328,
2005-01,6.318,
2005-04,6.353,
2005-07,6.317,
2005-10,6.229,
2006-01,6.241,
2006-04,6.200,
2006-07,6.193,
2006-10,6.072,
2007-01,6.081,
2007-04,6.111,
2007-07,6.169,
2007-10,6.288,
2008-01,6.357,
2008-04,6.526,
2008-07,6.644,
2008-10,6.725,
2009-01,6.712,
2009-04,6.835,
2009-07,6.929,
2009-10,6.949,
2010-01,6.984,
2010-04,7.348,
2010-07,7.260,
2010-10,7.276,
2011-01,7.247,
2011-04,7.359,
2011-07,7.480,
2011-10,7.322,
2012-01,7.383,
2012-04,7.785,
2012-07,7.909,
2012-10,7.928,
2013-01,7.947,
2013-04,7.992,
2013-07,7.849,
2013-10,7.969,
2014-01,7.870,
2014-04,8.020,
2014-07,8.062,
