"",BBK01.OEAH75L,BBK01.OEAH75L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:30,
2002-01,1.828,
2002-04,1.784,
2002-07,1.584,
2002-10,1.277,
2003-01,1.243,
2003-04,1.965,
2003-07,1.202,
2003-10,1.447,
2004-01,1.856,
2004-04,1.756,
2004-07,2.095,
2004-10,2.346,
2005-01,2.016,
2005-04,2.178,
2005-07,2.295,
2005-10,2.528,
2006-01,2.946,
2006-04,3.145,
2006-07,3.215,
2006-10,3.426,
2007-01,3.555,
2007-04,3.732,
2007-07,3.975,
2007-10,4.662,
2008-01,5.299,
2008-04,5.461,
2008-07,5.602,
2008-10,5.700,
2009-01,6.029,
2009-04,6.182,
2009-07,6.112,
2009-10,6.063,
2010-01,6.178,
2010-04,5.774,
2010-07,5.898,
2010-10,6.004,
2011-01,6.137,
2011-04,6.325,
2011-07,6.304,
2011-10,6.273,
2012-01,6.382,
2012-04,6.677,
2012-07,6.541,
2012-10,6.674,
2013-01,6.505,
2013-04,6.428,
2013-07,6.812,
2013-10,6.731,
2014-01,6.889,
2014-04,6.903,
2014-07,7.069,
