"",BBEX3.M.GEL.USD.CA.AC.A01,BBEX3.M.GEL.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Georgia / USD 1 = GEL ... (middle),
unit,GEL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:25,
1995-09,1.3000,
1995-10,1.2500,
1995-11,1.2580,
1995-12,1.2300,
1996-01,1.2500,
1996-02,1.2600,
1996-03,1.2600,
1996-04,1.2580,
1996-05,1.2600,
1996-06,1.2550,
1996-07,1.2589,
1996-08,1.2670,
1996-09,1.2700,
1996-10,1.2700,
1996-11,1.2800,
1996-12,1.2760,
1997-01,1.2760,
1997-02,1.2900,
1997-03,1.2950,
1997-04,1.2990,
1997-05,1.3000,
1997-06,1.3000,
1997-07,1.2950,
1997-08,1.2920,
1997-09,1.2980,
1997-10,1.3000,
1997-11,1.3120,
1997-12,1.3040,
1998-01,1.3260,
1998-02,1.3325,
1998-03,1.3350,
1998-04,1.3350,
1998-05,1.3470,
1998-06,1.3478,
1998-07,1.3463,
1998-08,1.3510,
1998-09,1.3690,
1998-10,1.4080,
1998-11,1.5350,
1998-12,1.8000,
1999-01,2.1200,
1999-02,2.3500,
1999-03,2.1800,
1999-04,1.9500,
1999-05,1.9700,
1999-06,1.9400,
1999-07,1.8400,
1999-08,1.8600,
1999-09,1.8520,
1999-10,1.8800,
1999-11,1.9999,
1999-12,1.9300,
2000-01,1.9700,
2000-02,1.9800,
2000-03,1.9300,
2000-04,1.9800,
2000-05,1.9730,
2000-06,1.9601,
2000-07,1.9649,
2000-08,1.9600,
2000-09,1.9600,
2000-10,1.9670,
2000-11,1.9700,
2000-12,1.9750,
2001-01,2.0250,
2001-02,2.0351,
2001-03,2.0600,
2001-04,2.0600,
2001-05,2.0490,
2001-06,2.0610,
2001-07,2.0600,
2001-08,2.0649,
2001-09,2.0650,
2001-10,2.0847,
2001-11,2.1251,
2001-12,2.0600,
2002-01,2.1970,
2002-02,2.2100,
2002-03,2.2150,
2002-04,2.2350,
2002-05,2.2151,
2002-06,2.2000,
2002-07,2.1850,
2002-08,2.1650,
2002-09,2.1750,
2002-10,2.1650,
2002-11,2.1730,
2002-12,2.0900,
2003-01,2.1850,
2003-02,2.1751,
2003-03,2.1200,
2003-04,2.1450,
2003-05,2.1500,
2003-06,2.1100,
2003-07,2.1212,
2003-08,2.1125,
2003-09,2.1130,
2003-10,2.1069,
2003-11,2.1900,
2003-12,2.0750,
2004-01,2.1100,
2004-02,2.0275,
2004-03,2.0050,
2004-04,1.9900,
2004-05,1.9200,
2004-06,1.9200,
2004-07,1.8900,
2004-08,1.7850,
2004-09,1.8400,
2004-10,1.8275,
2004-11,1.7800,
2004-12,1.8250,
2005-01,1.8201,
2005-02,1.8290,
2005-03,1.8340,
2005-04,1.8250,
2005-05,1.8270,
2005-06,1.8125,
2005-07,1.8075,
2005-08,1.7900,
2005-09,1.7925,
2005-10,1.7975,
2005-11,1.7900,
2005-12,1.7925,
2006-01,1.8125,
2006-02,1.8265,
2006-03,1.8270,
2006-04,1.8169,
2006-05,1.8000,
2006-06,1.7730,
2006-07,1.7650,
2006-08,1.7440,
2006-09,1.7355,
2006-10,1.7390,
2006-11,1.7315,
2006-12,1.7135,
2007-01,1.7199,
2007-02,1.7130,
2007-03,1.7000,
2007-04,1.6900,
2007-05,1.6780,
2007-06,1.6695,
2007-07,1.6680,
2007-08,1.6625,
2007-09,1.6580,
