"",BBK01.OEAC43K,BBK01.OEAC43K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:06,
2002-01,0.764,
2002-04,0.795,
2002-07,0.817,
2002-10,1.109,
2003-01,1.082,
2003-04,1.108,
2003-07,1.082,
2003-10,1.051,
2004-01,0.749,
2004-04,1.543,
2004-07,1.613,
2004-10,1.284,
2005-01,1.360,
2005-04,0.990,
2005-07,0.843,
2005-10,0.841,
2006-01,0.746,
2006-04,0.730,
2006-07,0.725,
2006-10,0.762,
2007-01,0.874,
2007-04,0.835,
2007-07,0.807,
2007-10,0.944,
2008-01,0.889,
2008-04,0.900,
2008-07,0.983,
2008-10,1.124,
2009-01,1.328,
2009-04,1.344,
2009-07,1.298,
2009-10,1.358,
2010-01,1.207,
2010-04,1.184,
2010-07,1.205,
2010-10,1.089,
2011-01,0.951,
2011-04,0.988,
2011-07,1.072,
2011-10,1.088,
2012-01,1.187,
2012-04,1.171,
2012-07,1.242,
2012-10,1.371,
2013-01,1.382,
2013-04,1.550,
2013-07,1.637,
2013-10,1.640,
2014-01,1.812,
2014-04,1.860,
2014-07,1.725,
