"",BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.CH.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:38,
1991-01,-15.467,
1991-04,-34.239,
1991-07,-22.017,
1991-10,5.093,
1992-01,-48.197,
1992-04,12.736,
1992-07,-336.278,
1992-10,-101.761,
1993-01,-63.529,
1993-04,-394.567,
1993-07,11.607,
1993-10,-583.444,
1994-01,-54.829,
1994-04,-102.823,
1994-07,-30.844,
1994-10,44.104,
1995-01,98.643,
1995-04,-243.853,
1995-07,100.143,
1995-10,-67.097,
1996-01,351.262,
1996-04,59.663,
1996-07,38.645,
1996-10,306.965,
1997-01,286.407,
1997-04,-181.067,
1997-07,-47.053,
1997-10,69.161,
1998-01,64.480,
1998-04,-306.507,
1998-07,82.697,
1998-10,-103.672,
1999-01,-113.729,
1999-04,-442.910,
1999-07,-159.038,
1999-10,-304.489,
2000-01,478.429,
2000-04,-113.539,
2000-07,184.784,
2000-10,-848.716,
2001-01,134.683,
2001-04,-666.631,
2001-07,-35.352,
2001-10,2190.231,
2002-01,-904.861,
2002-04,-276.176,
2002-07,505.682,
2002-10,138.359,
2003-01,-41.650,
2003-04,124.740,
2003-07,98.628,
2003-10,-103.074,
2004-01,-449.877,
2004-04,35.991,
2004-07,-73.837,
2004-10,254.051,
2005-01,167.534,
2005-04,-134.234,
2005-07,-799.828,
2005-10,-146.637,
2006-01,25.965,
2006-04,697.017,
2006-07,-331.388,
2006-10,1087.503,
2007-01,-290.190,
2007-04,-509.663,
2007-07,502.448,
2007-10,-194.621,
2008-01,1624.335,
2008-04,1198.783,
2008-07,1580.567,
2008-10,868.963,
2009-01,263.541,
2009-04,-4.571,
2009-07,-1035.951,
2009-10,105.968,
2010-01,-222.862,
2010-04,-158.880,
2010-07,432.063,
2010-10,74.430,
2011-01,461.789,
2011-04,-557.445,
2011-07,-2070.547,
2011-10,-391.070,
2012-01,-965.644,
2012-04,1090.733,
2012-07,62.437,
2012-10,719.410,
2013-01,567.579,
2013-04,216.476,
2013-07,730.408,
2013-10,1178.027,
2014-01,713.696,Provisional value
2014-04,598.097,Provisional value
2014-07,454.286,Provisional value
2014-10,314.033,Provisional value
