"",BBDE1.M.DE.Y.GUD1.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.GUD1.A2P320000.F.V.I10.A_FLAGS
"","Turnover from abroad, Euro-area countries / At current prices / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:57,
2003-01,90.2,
2003-02,85.6,
2003-03,91.3,
2003-04,90.6,
2003-05,85.0,
2003-06,81.2,
2003-07,89.9,
2003-08,86.7,
2003-09,85.2,
2003-10,86.0,
2003-11,92.3,
2003-12,94.7,
2004-01,90.7,
2004-02,96.2,
2004-03,88.4,
2004-04,92.8,
2004-05,98.5,
2004-06,97.9,
2004-07,96.9,
2004-08,98.0,
2004-09,97.0,
2004-10,98.8,
2004-11,96.1,
2004-12,96.3,
2005-01,95.5,
2005-02,95.6,
2005-03,101.5,
2005-04,98.4,
2005-05,96.9,
2005-06,102.2,
2005-07,101.0,
2005-08,100.0,
2005-09,106.3,
2005-10,104.7,
2005-11,106.5,
2005-12,104.1,
2006-01,106.0,
2006-02,108.6,
2006-03,107.2,
2006-04,108.2,
2006-05,111.4,
2006-06,109.4,
2006-07,109.9,
2006-08,113.8,
2006-09,111.6,
2006-10,114.0,
2006-11,114.0,
2006-12,109.8,
2007-01,120.3,
2007-02,117.3,
2007-03,120.7,
2007-04,120.9,
2007-05,120.3,
2007-06,120.2,
2007-07,122.9,
2007-08,122.7,
2007-09,126.0,
2007-10,125.3,
2007-11,125.6,
2007-12,126.5,
2008-01,128.3,
2008-02,126.8,
2008-03,125.0,
2008-04,131.4,
2008-05,121.6,
2008-06,119.1,
2008-07,122.6,
2008-08,124.3,
2008-09,121.0,
2008-10,117.6,
2008-11,110.7,
2008-12,100.0,
2009-01,93.8,
2009-02,88.3,
2009-03,97.0,
2009-04,84.7,
2009-05,86.2,
2009-06,90.7,
2009-07,87.6,
2009-08,87.9,
2009-09,100.4,
2009-10,90.5,
2009-11,90.3,
2009-12,94.5,
2010-01,95.3,
2010-02,94.0,
2010-03,93.4,
2010-04,96.7,
2010-05,101.0,
2010-06,101.0,
2010-07,93.2,
2010-08,98.8,
2010-09,100.3,
2010-10,106.5,
2010-11,104.3,
2010-12,106.0,
2011-01,104.1,
2011-02,103.5,
2011-03,108.4,
2011-04,104.3,
2011-05,105.5,
2011-06,103.3,
2011-07,106.7,
2011-08,106.6,
2011-09,107.2,
2011-10,107.0,
2011-11,103.3,
2011-12,100.5,
2012-01,102.8,
2012-02,102.7,
2012-03,98.7,
2012-04,98.7,
2012-05,99.8,
2012-06,96.5,
2012-07,96.4,
2012-08,103.2,
2012-09,93.4,
2012-10,93.4,
2012-11,92.0,
2012-12,90.3,
2013-01,92.7,
2013-02,93.4,
2013-03,94.9,
2013-04,93.7,
2013-05,91.1,
2013-06,93.9,
2013-07,92.3,
2013-08,97.5,
2013-09,95.7,
2013-10,93.2,
2013-11,99.3,
2013-12,101.4,
2014-01,98.2,
2014-02,100.1,
2014-03,99.9,
2014-04,101.1,
2014-05,100.5,
2014-06,98.6,
2014-07,102.6,
2014-08,103.7,
2014-09,100.2,
2014-10,106.0,
2014-11,103.6,
2014-12,108.0,Provisional value
