"",BBK01.CEB4C0,BBK01.CEB4C0_FLAGS
"",Loans\ndebtor: General government                                creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:50,
1991-01,282.5,
1991-04,286.4,
1991-07,285.8,
1991-10,294.9,
1992-01,292.4,
1992-04,291.1,
1992-07,289.8,
1992-10,298.7,
1993-01,298.9,
1993-04,304.2,
1993-07,307.8,
1993-10,318.6,
1994-01,334.9,
1994-04,335.5,
1994-07,335.4,
1994-10,356.2,
1995-01,372.6,
1995-04,378.1,
1995-07,396.4,
1995-10,422.9,
1996-01,429.7,
1996-04,430.1,
1996-07,436.9,
1996-10,458.5,
1997-01,460.9,
1997-04,458.2,
1997-07,471.6,
1997-10,474.8,
1998-01,484.0,
1998-04,478.8,
1998-07,483.8,
1998-10,480.5,
1999-01,503.7,
1999-04,503.6,
1999-07,498.5,
1999-10,500.5,
2000-01,509.7,
2000-04,503.9,
2000-07,509.4,
2000-10,481.1,
2001-01,489.6,
2001-04,476.7,
2001-07,474.6,
2001-10,471.8,
2002-01,482.7,
2002-04,461.7,
2002-07,456.3,
2002-10,460.1,
2003-01,462.3,
2003-04,465.3,
2003-07,477.9,
2003-10,475.8,
2004-01,486.6,
2004-04,479.4,
2004-07,481.1,
2004-10,475.9,
2005-01,486.8,
2005-04,479.1,
2005-07,485.2,
2005-10,475.9,
2006-01,483.5,
2006-04,475.9,
2006-07,481.9,
2006-10,470.6,
2007-01,475.8,
2007-04,476.2,
2007-07,467.3,
2007-10,448.8,
2008-01,471.3,
2008-04,477.8,
2008-07,462.5,
2008-10,473.3,
2009-01,466.7,
2009-04,466.9,
2009-07,475.3,
2009-10,471.9,
2010-01,467.9,
2010-04,491.6,
2010-07,494.9,
2010-10,666.2,
2011-01,649.2,
2011-04,627.0,
2011-07,627.9,
2011-10,628.6,
2012-01,625.3,
2012-04,644.3,
2012-07,622.4,
2012-10,611.5,
2013-01,598.3,
2013-04,600.0,
2013-07,581.8,
2013-10,591.5,
2014-01,575.7,
