"",BBK01.OEAC52Q,BBK01.OEAC52Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:14,
2002-01,1.028,
2002-04,1.027,
2002-07,1.004,
2002-10,1.015,
2003-01,1.051,
2003-04,1.051,
2003-07,1.006,
2003-10,1.028,
2004-01,1.049,
2004-04,0.901,
2004-07,0.984,
2004-10,0.965,
2005-01,0.953,
2005-04,0.923,
2005-07,0.898,
2005-10,0.875,
2006-01,0.929,
2006-04,0.990,
2006-07,0.989,
2006-10,0.961,
2007-01,0.935,
2007-04,0.873,
2007-07,0.852,
2007-10,0.868,
2008-01,1.000,
2008-04,0.852,
2008-07,0.848,
2008-10,0.859,
2009-01,0.869,
2009-04,0.795,
2009-07,0.924,
2009-10,0.930,
2010-01,3.972,
2010-04,4.256,
2010-07,3.746,
2010-10,3.758,
2011-01,4.511,
2011-04,4.508,
2011-07,2.012,
2011-10,1.969,
2012-01,1.939,
2012-04,2.036,
2012-07,1.995,
2012-10,4.730,
2013-01,4.570,
2013-04,4.092,
2013-07,3.785,
2013-10,7.386,
2014-01,7.009,
2014-04,6.904,
2014-07,7.027,
