"",BBFB1.Q.N.DE.SE.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:35,
1991-01,276.890,
1991-04,276.340,
1991-07,271.117,
1991-10,268.032,
1992-01,231.360,
1992-04,281.996,
1992-07,228.925,
1992-10,215.949,
1993-01,274.096,
1993-04,251.853,
1993-07,240.006,
1993-10,214.588,
1994-01,138.063,
1994-04,162.409,
1994-07,133.206,
1994-10,137.277,
1995-01,201.483,
1995-04,233.808,
1995-07,223.741,
1995-10,249.344,
1996-01,148.117,
1996-04,186.516,
1996-07,184.210,
1996-10,141.916,
1997-01,181.869,
1997-04,266.415,
1997-07,222.860,
1997-10,204.707,
1998-01,192.400,
1998-04,270.320,
1998-07,233.748,
1998-10,209.447,
1999-01,264.429,
1999-04,338.482,
1999-07,372.487,
1999-10,287.179,
2000-01,637.551,
2000-04,823.943,
2000-07,658.673,
2000-10,599.638,
2001-01,306.464,
2001-04,309.951,
2001-07,287.377,
2001-10,279.779,
2002-01,340.584,
2002-04,362.707,
2002-07,326.828,
2002-10,358.611,
2003-01,339.785,
2003-04,362.693,
2003-07,359.976,
2003-10,360.399,
2004-01,456.625,
2004-04,431.053,
2004-07,424.937,
2004-10,439.329,
2005-01,524.723,
2005-04,520.766,
2005-07,536.942,
2005-10,586.241,
2006-01,672.100,
2006-04,737.405,
2006-07,664.151,
2006-10,730.801,
2007-01,821.866,
2007-04,873.765,
2007-07,711.810,
2007-10,714.863,
2008-01,1079.741,
2008-04,841.254,
2008-07,679.280,
2008-10,903.665,
2009-01,600.745,
2009-04,617.287,
2009-07,595.204,
2009-10,626.970,
2010-01,600.816,
2010-04,679.505,
2010-07,644.650,
2010-10,711.100,
2011-01,898.346,
2011-04,967.728,
2011-07,924.272,
2011-10,907.421,
2012-01,865.676,
2012-04,950.857,
2012-07,852.046,
2012-10,823.384,
2013-01,857.955,
2013-04,912.432,
2013-07,782.391,
2013-10,780.906,
2014-01,793.661,Provisional value
2014-04,889.453,Provisional value
2014-07,755.819,Provisional value
