"",BBK01.OEAN02P,BBK01.OEAN02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:07,
2002-01,6.680,
2002-04,6.575,
2002-07,6.442,
2002-10,6.678,
2003-01,6.870,
2003-04,6.724,
2003-07,6.839,
2003-10,7.018,
2004-01,7.066,
2004-04,7.039,
2004-07,7.035,
2004-10,7.224,
2005-01,7.549,
2005-04,7.535,
2005-07,7.647,
2005-10,7.798,
2006-01,7.785,
2006-04,7.738,
2006-07,7.679,
2006-10,7.763,
2007-01,7.696,
2007-04,7.599,
2007-07,7.522,
2007-10,7.551,
2008-01,7.433,
2008-04,7.344,
2008-07,7.139,
2008-10,7.259,
2009-01,7.241,
2009-04,7.344,
2009-07,7.438,
2009-10,7.713,
2010-01,7.884,
2010-04,8.001,
2010-07,7.965,
2010-10,8.098,
2011-01,8.094,
2011-04,8.057,
2011-07,8.012,
2011-10,8.061,
2012-01,8.039,
2012-04,7.999,
2012-07,7.906,
2012-10,7.951,
2013-01,7.783,
2013-04,7.628,
2013-07,7.494,
2013-10,7.469,
2014-01,7.367,
2014-04,7.264,
2014-07,7.210,
