"",BBK01.OEYI10H,BBK01.OEYI10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:33,
2002-01,8.833,
2002-04,8.822,
2002-07,8.767,
2002-10,8.725,
2003-01,8.664,
2003-04,8.603,
2003-07,8.499,
2003-10,8.933,
2004-01,8.351,
2004-04,8.294,
2004-07,8.217,
2004-10,8.218,
2005-01,8.114,
2005-04,8.013,
2005-07,7.920,
2005-10,7.828,
2006-01,7.776,
2006-04,7.709,
2006-07,7.672,
2006-10,7.612,
2007-01,7.496,
2007-04,7.451,
2007-07,7.321,
2007-10,7.267,
2008-01,7.167,
2008-04,7.142,
2008-07,7.049,
2008-10,7.020,
2009-01,6.964,
2009-04,6.909,
2009-07,6.872,
2009-10,6.825,
2010-01,6.741,
2010-04,6.680,
2010-07,6.627,
2010-10,6.544,
2011-01,6.478,
2011-04,6.394,
2011-07,6.366,
2011-10,6.298,
2012-01,6.217,
2012-04,6.116,
2012-07,6.062,
2012-10,5.964,
2013-01,5.876,
2013-04,5.681,
2013-07,5.640,
2013-10,5.561,
2014-01,5.500,
2014-04,5.409,
2014-07,5.423,
