"",BBK01.OEAJ09Q,BBK01.OEAJ09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:53,
2002-01,0.505,
2002-04,0.476,
2002-07,0.598,
2002-10,0.597,
2003-01,0.525,
2003-04,0.524,
2003-07,0.636,
2003-10,0.639,
2004-01,0.638,
2004-04,0.633,
2004-07,0.620,
2004-10,0.497,
2005-01,0.494,
2005-04,0.491,
2005-07,0.486,
2005-10,0.265,
2006-01,0.255,
2006-04,0.254,
2006-07,0.254,
2006-10,0.253,
2007-01,0.255,
2007-04,0.256,
2007-07,0.087,
2007-10,0.085,
2008-01,0.081,
2008-04,0.086,
2008-07,0.086,
2008-10,0.066,
2009-01,0.062,
2009-04,0.067,
2009-07,0.065,
2009-10,0.084,
2010-01,0.129,
2010-04,0.126,
2010-07,0.118,
2010-10,0.105,
2011-01,0.048,
2011-04,0.029,
2011-07,0.026,
2011-10,0.016,
2012-01,0.016,
2012-04,0.017,
2012-07,0.046,
2012-10,0.056,
2013-01,0.065,
2013-04,0.071,
2013-07,0.062,
2013-10,0.087,
2014-01,0.091,
2014-04,0.088,
2014-07,0.102,
