"",BBK01.OEBL05O,BBK01.OEBL05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:29,
2002-01,-1.297,
2002-04,-1.397,
2002-07,-1.623,
2002-10,-1.788,
2003-01,-1.920,
2003-04,-1.927,
2003-07,-1.889,
2003-10,-1.883,
2004-01,-1.903,
2004-04,-1.918,
2004-07,-1.955,
2004-10,-1.978,
2005-01,0.111,
2005-04,0.112,
2005-07,0.110,
2005-10,0.103,
2006-01,0.099,
2006-04,0.099,
2006-07,0.103,
2006-10,0.103,
2007-01,0.101,
2007-04,0.097,
2007-07,0.095,
2007-10,0.096,
2008-01,0.092,
2008-04,0.094,
2008-07,0.092,
2008-10,0.105,
2009-01,0.121,
2009-04,0.141,
2009-07,0.162,
2009-10,0.170,
2010-01,0.178,
2010-04,0.196,
2010-07,0.243,
2010-10,0.260,
2011-01,0.301,
2011-04,0.324,
2011-07,0.352,
2011-10,0.359,
2012-01,0.363,
2012-04,0.368,
2012-07,0.383,
2012-10,0.394,
2013-01,0.395,
2013-04,0.389,
2013-07,0.411,
2013-10,0.404,
2014-01,0.395,
2014-04,0.389,
2014-07,0.375,
