"",BBK01.OEXB11V,BBK01.OEXB11V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:33,
2002-01,0.347,
2002-04,0.365,
2002-07,0.374,
2002-10,0.384,
2003-01,0.381,
2003-04,0.365,
2003-07,0.381,
2003-10,0.424,
2004-01,0.377,
2004-04,0.351,
2004-07,0.340,
2004-10,0.327,
2005-01,0.347,
2005-04,0.359,
2005-07,0.349,
2005-10,0.350,
2006-01,0.353,
2006-04,0.351,
2006-07,0.344,
2006-10,0.359,
2007-01,0.369,
2007-04,0.376,
2007-07,0.379,
2007-10,0.289,
2008-01,0.289,
2008-04,0.304,
2008-07,0.314,
2008-10,0.290,
2009-01,0.295,
2009-04,0.286,
2009-07,0.299,
2009-10,0.406,
2010-01,0.370,
2010-04,0.358,
2010-07,0.374,
2010-10,0.370,
2011-01,0.379,
2011-04,0.362,
2011-07,0.350,
2011-10,0.358,
2012-01,0.344,
2012-04,0.347,
2012-07,0.328,
2012-10,0.325,
2013-01,0.308,
2013-04,0.300,
2013-07,0.285,
2013-10,0.300,
2014-01,0.301,
2014-04,0.283,
2014-07,0.272,
