"",BBK01.OEAE22G,BBK01.OEAE22G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:56,
2002-01,1.980,
2002-04,1.941,
2002-07,1.943,
2002-10,1.924,
2003-01,1.885,
2003-04,1.884,
2003-07,1.646,
2003-10,1.761,
2004-01,1.802,
2004-04,1.912,
2004-07,1.908,
2004-10,1.969,
2005-01,1.736,
2005-04,1.841,
2005-07,2.030,
2005-10,1.773,
2006-01,1.899,
2006-04,1.797,
2006-07,1.899,
2006-10,1.729,
2007-01,1.597,
2007-04,1.557,
2007-07,1.441,
2007-10,1.412,
2008-01,1.310,
2008-04,1.267,
2008-07,1.417,
2008-10,1.341,
2009-01,1.359,
2009-04,1.413,
2009-07,1.758,
2009-10,2.028,
2010-01,1.466,
2010-04,1.152,
2010-07,1.208,
2010-10,1.251,
2011-01,1.388,
2011-04,1.387,
2011-07,1.453,
2011-10,1.474,
2012-01,1.363,
2012-04,1.392,
2012-07,1.376,
2012-10,1.451,
2013-01,1.295,
2013-04,1.156,
2013-07,1.047,
2013-10,1.057,
2014-01,1.010,
2014-04,0.982,
2014-07,1.038,
