"",BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA._T.FGED.S._T._X.N,BBFI1.Q.N.DE.W1.S1P.S1.LE.L.FA._T.FGED.S._T._X.N_FLAGS
"",AVS - Gross external debt - Other sectors than MFIs and general government - Short-term original maturity (up to 1 year) - Liabilities - Positions - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:08:22,
1999-10,94564,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,119226,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,130836,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,119926,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,127656,
2004-01,132726,
2004-04,128509,
2004-07,128720,
2004-10,127407,
2005-01,127848,
2005-04,132917,
2005-07,137998,
2005-10,131890,
2006-01,146389,
2006-04,160927,
2006-07,166763,
2006-10,173689,
2007-01,186617,
2007-04,202743,
2007-07,212371,
2007-10,200187,
2008-01,221524,
2008-04,236820,
2008-07,244763,
2008-10,266981,
2009-01,253116,
2009-04,253541,
2009-07,250498,
2009-10,261402,
2010-01,257728,
2010-04,270984,
2010-07,279607,
2010-10,279376,
2011-01,281245,
2011-04,286921,
2011-07,303980,
2011-10,294598,
2012-01,296635,
2012-04,311737,
2012-07,301333,
2012-10,179230,
2013-01,191717,
2013-04,207445,
2013-07,193323,
2013-10,167834,
2014-01,178343,
2014-04,182584,
2014-07,184968,
