"",BBK01.OELB20G,BBK01.OELB20G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:19,
2002-01,35.060,
2002-04,35.300,
2002-07,35.831,
2002-10,36.352,
2003-01,36.112,
2003-04,36.463,
2003-07,37.079,
2003-10,37.858,
2004-01,37.905,
2004-04,38.387,
2004-07,38.987,
2004-10,39.113,
2005-01,38.951,
2005-04,39.425,
2005-07,39.954,
2005-10,40.762,
2006-01,40.954,
2006-04,41.456,
2006-07,42.084,
2006-10,42.511,
2007-01,42.551,
2007-04,42.815,
2007-07,43.257,
2007-10,43.868,
2008-01,43.828,
2008-04,44.146,
2008-07,44.621,
2008-10,44.804,
2009-01,44.748,
2009-04,45.132,
2009-07,45.734,
2009-10,46.395,
2010-01,46.360,
2010-04,46.895,
2010-07,47.541,
2010-10,48.078,
2011-01,48.306,
2011-04,48.904,
2011-07,49.462,
2011-10,50.088,
2012-01,50.257,
2012-04,51.198,
2012-07,51.986,
2012-10,52.708,
2013-01,52.973,
2013-04,53.676,
2013-07,54.630,
2013-10,55.348,
2014-01,55.626,
2014-04,56.214,
2014-07,56.945,
