"",BBDE1.M.DE.Y.BAA1.A2R290050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R290050.G.C.I10.A_FLAGS
"","Output in the production sector / Germany / 29+30 Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:59,
1991-01,70.1,
1991-02,68.3,
1991-03,66.9,
1991-04,67.5,
1991-05,66.2,
1991-06,68.6,
1991-07,66.5,
1991-08,69.5,
1991-09,66.3,
1991-10,67.8,
1991-11,69.4,
1991-12,68.7,
1992-01,71.8,
1992-02,72.2,
1992-03,69.9,
1992-04,69.1,
1992-05,70.1,
1992-06,67.8,
1992-07,67.4,
1992-08,66.5,
1992-09,68.3,
1992-10,68.4,
1992-11,64.6,
1992-12,60.4,
1993-01,56.1,
1993-02,57.1,
1993-03,58.6,
1993-04,57.8,
1993-05,57.6,
1993-06,54.6,
1993-07,54.7,
1993-08,61.3,
1993-09,59.2,
1993-10,59.3,
1993-11,58.4,
1993-12,59.2,
1994-01,56.8,
1994-02,58.5,
1994-03,60.9,
1994-04,62.2,
1994-05,60.0,
1994-06,61.8,
1994-07,64.4,
1994-08,57.4,
1994-09,63.5,
1994-10,63.1,
1994-11,63.2,
1994-12,64.4,
1995-01,62.2,
1995-02,60.7,
1995-03,60.2,
1995-04,61.9,
1995-05,61.9,
1995-06,61.2,
1995-07,57.9,
1995-08,58.1,
1995-09,60.4,
1995-10,58.1,
1995-11,60.0,
1995-12,60.7,
1996-01,61.0,
1996-02,61.3,
1996-03,61.4,
1996-04,59.9,
1996-05,60.4,
1996-06,60.0,
1996-07,58.6,
1996-08,62.3,
1996-09,61.5,
1996-10,60.9,
1996-11,63.5,
1996-12,62.3,
1997-01,62.8,
1997-02,62.5,
1997-03,64.9,
1997-04,63.2,
1997-05,62.4,
1997-06,64.9,
1997-07,68.6,
1997-08,61.6,
1997-09,63.8,
1997-10,63.9,
1997-11,66.6,
1997-12,67.2,
1998-01,68.2,
1998-02,70.6,
1998-03,70.2,
1998-04,70.8,
1998-05,71.9,
1998-06,71.6,
1998-07,75.6,
1998-08,73.3,
1998-09,73.0,
1998-10,76.9,
1998-11,74.0,
1998-12,75.2,
1999-01,72.6,
1999-02,73.7,
1999-03,71.2,
1999-04,75.1,
1999-05,75.1,
1999-06,74.4,
1999-07,74.0,
1999-08,77.2,
1999-09,74.2,
1999-10,78.1,
1999-11,76.6,
1999-12,76.0,
2000-01,76.0,
2000-02,78.7,
2000-03,79.4,
2000-04,81.3,
2000-05,83.5,
2000-06,81.0,
2000-07,85.4,
2000-08,83.8,
2000-09,82.0,
2000-10,82.0,
2000-11,83.7,
2000-12,87.4,
2001-01,87.5,
2001-02,87.8,
2001-03,86.3,
2001-04,84.8,
2001-05,85.1,
2001-06,85.9,
2001-07,82.1,
2001-08,90.2,
2001-09,86.9,
2001-10,84.1,
2001-11,82.1,
2001-12,83.7,
2002-01,84.7,
2002-02,82.6,
2002-03,85.3,
2002-04,85.3,
2002-05,83.7,
2002-06,90.2,
2002-07,84.3,
2002-08,95.1,
2002-09,89.7,
2002-10,85.8,
2002-11,90.6,
2002-12,88.6,
2003-01,90.1,
2003-02,90.6,
2003-03,90.2,
2003-04,88.1,
2003-05,88.5,
2003-06,84.9,
2003-07,89.7,
2003-08,85.4,
2003-09,86.6,
2003-10,87.3,
2003-11,94.3,
2003-12,95.3,
2004-01,86.8,
2004-02,88.9,
2004-03,89.5,
2004-04,90.9,
2004-05,93.9,
2004-06,93.2,
2004-07,90.8,
2004-08,94.6,
2004-09,92.3,
2004-10,96.0,
2004-11,90.9,
2004-12,92.0,
2005-01,93.7,
2005-02,90.0,
2005-03,92.4,
2005-04,97.2,
2005-05,91.9,
2005-06,94.7,
2005-07,99.0,
2005-08,93.0,
2005-09,98.2,
2005-10,99.3,
2005-11,98.1,
2005-12,94.7,
2006-01,94.9,
2006-02,97.7,
2006-03,96.8,
2006-04,97.2,
2006-05,100.0,
2006-06,98.3,
2006-07,104.7,
2006-08,96.6,
2006-09,101.4,
2006-10,97.6,
2006-11,101.1,
2006-12,100.3,
2007-01,103.6,
2007-02,102.1,
2007-03,104.3,
2007-04,102.4,
2007-05,104.9,
2007-06,106.7,
2007-07,107.9,
2007-08,104.5,
2007-09,108.1,
2007-10,106.2,
2007-11,107.0,
2007-12,105.9,
2008-01,108.7,
2008-02,109.4,
2008-03,107.9,
2008-04,109.4,
2008-05,103.6,
2008-06,105.6,
2008-07,102.8,
2008-08,106.7,
2008-09,102.9,
2008-10,95.9,
2008-11,91.9,
2008-12,78.3,
2009-01,76.5,
2009-02,67.9,
2009-03,77.5,
2009-04,71.7,
2009-05,84.6,
2009-06,86.7,
2009-07,84.7,
2009-08,85.2,
2009-09,93.6,
2009-10,90.1,
2009-11,90.0,
2009-12,87.0,
2010-01,88.9,
2010-02,88.2,
2010-03,93.7,
2010-04,94.8,
2010-05,101.2,
2010-06,100.4,
2010-07,95.5,
2010-08,97.3,
2010-09,105.3,
2010-10,108.2,
2010-11,104.4,
2010-12,113.6,
2011-01,107.0,
2011-02,110.1,
2011-03,110.5,
2011-04,110.3,
2011-05,115.4,
2011-06,108.5,
2011-07,116.7,
2011-08,120.2,
2011-09,113.0,
2011-10,116.7,
2011-11,112.7,
2011-12,111.7,
2012-01,115.4,
2012-02,114.6,
2012-03,114.0,
2012-04,111.4,
2012-05,113.6,
2012-06,111.5,
2012-07,117.5,
2012-08,122.6,
2012-09,114.2,
2012-10,109.8,
2012-11,110.9,
2012-12,110.3,
2013-01,108.2,
2013-02,111.3,
2013-03,113.9,
2013-04,116.1,
2013-05,111.7,
2013-06,115.6,
2013-07,112.2,
2013-08,132.9,
2013-09,117.9,
2013-10,114.1,
2013-11,121.8,
2013-12,119.9,
2014-01,120.2,
2014-02,120.8,
2014-03,121.3,
2014-04,119.9,
2014-05,121.1,
2014-06,119.7,
2014-07,131.0,
2014-08,109.3,
2014-09,119.3,
2014-10,119.0,Provisional value
2014-11,122.0,Provisional value
2014-12,121.6,Provisional value
