"",BBK01.OEXB01S,BBK01.OEXB01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:59,
2002-01,4.683,
2002-04,4.682,
2002-07,4.642,
2002-10,4.759,
2003-01,4.799,
2003-04,4.900,
2003-07,4.964,
2003-10,5.037,
2004-01,5.052,
2004-04,5.054,
2004-07,5.100,
2004-10,5.242,
2005-01,5.278,
2005-04,5.378,
2005-07,5.355,
2005-10,5.313,
2006-01,5.371,
2006-04,5.398,
2006-07,5.465,
2006-10,5.495,
2007-01,5.566,
2007-04,5.593,
2007-07,5.688,
2007-10,5.839,
2008-01,5.766,
2008-04,5.707,
2008-07,5.745,
2008-10,5.853,
2009-01,5.894,
2009-04,5.951,
2009-07,6.106,
2009-10,6.164,
2010-01,6.181,
2010-04,6.223,
2010-07,6.389,
2010-10,6.511,
2011-01,6.576,
2011-04,6.698,
2011-07,6.828,
2011-10,7.019,
2012-01,7.048,
2012-04,7.125,
2012-07,7.197,
2012-10,7.281,
2013-01,7.303,
2013-04,7.344,
2013-07,7.432,
2013-10,7.462,
2014-01,7.474,
2014-04,7.465,
2014-07,7.531,
