"",BBK01.OECK03S,BBK01.OECK03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:54,
2002-01,0.080,
2002-04,0.079,
2002-07,0.065,
2002-10,0.041,
2003-01,0.037,
2003-04,0.028,
2003-07,0.029,
2003-10,0.025,
2004-01,0.024,
2004-04,0.019,
2004-07,0.016,
2004-10,0.021,
2005-01,0.021,
2005-04,0.021,
2005-07,0.020,
2005-10,0.021,
2006-01,0.022,
2006-04,0.022,
2006-07,0.020,
2006-10,0.024,
2007-01,0.025,
2007-04,0.028,
2007-07,0.034,
2007-10,0.038,
2008-01,0.051,
2008-04,0.062,
2008-07,0.112,
2008-10,0.104,
2009-01,0.057,
2009-04,0.047,
2009-07,0.035,
2009-10,0.031,
2010-01,0.031,
2010-04,0.028,
2010-07,0.018,
2010-10,0.014,
2011-01,0.020,
2011-04,0.013,
2011-07,0.017,
2011-10,0.021,
2012-01,0.021,
2012-04,0.019,
2012-07,0.012,
2012-10,0.007,
2013-01,0.005,
2013-04,0.005,
2013-07,0.005,
2013-10,0.005,
2014-01,0.005,
2014-04,0.004,
2014-07,0.004,
