"",BBK01.OUA386,BBK01.OUA386_FLAGS
"",Savings deposits of foreign non-banks / at a period of notice of more than 3 months / All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:11:12,
1999-01,3.017,
1999-02,2.970,
1999-03,2.975,
1999-04,2.923,
1999-05,2.823,
1999-06,2.772,
1999-07,2.728,
1999-08,2.700,
1999-09,2.741,
1999-10,2.734,
1999-11,2.752,
1999-12,2.818,
2000-01,2.850,
2000-02,2.892,
2000-03,2.941,
2000-04,2.954,
2000-05,3.021,
2000-06,3.072,
2000-07,3.123,
2000-08,3.203,
2000-09,3.297,
2000-10,3.343,
2000-11,3.397,
2000-12,3.466,
2001-01,3.485,
2001-02,3.499,
2001-03,3.491,
2001-04,3.446,
2001-05,3.416,
2001-06,3.385,
2001-07,3.363,
2001-08,3.326,
2001-09,3.309,
2001-10,3.260,
2001-11,3.204,
2001-12,3.198,
2002-01,3.124,
2002-02,3.085,
2002-03,3.030,
2002-04,2.984,
2002-05,2.941,
2002-06,2.926,
2002-07,2.921,
2002-08,2.929,
2002-09,2.914,
2002-10,2.886,
2002-11,2.848,
2002-12,2.821,
2003-01,2.756,
2003-02,2.690,
2003-03,2.616,
2003-04,2.535,
2003-05,2.486,
2003-06,2.427,
2003-07,2.348,
2003-08,2.280,
2003-09,2.227,
2003-10,2.180,
2003-11,2.149,
2003-12,2.140,
2004-01,2.108,
2004-02,2.087,
2004-03,2.067,
2004-04,2.025,
2004-05,1.992,
2004-06,1.968,
2004-07,1.954,
2004-08,1.923,
2004-09,1.904,
2004-10,1.905,
2004-11,1.893,
2004-12,1.894,
2005-01,1.881,
2005-02,1.874,
2005-03,1.862,
2005-04,1.849,
2005-05,1.829,
2005-06,1.769,
2005-07,1.743,
2005-08,1.719,
2005-09,1.684,
2005-10,1.674,
2005-11,1.661,
2005-12,1.666,
2006-01,1.667,
2006-02,1.666,
2006-03,1.679,
2006-04,1.685,
2006-05,1.698,
2006-06,1.727,
2006-07,1.745,
2006-08,1.766,
2006-09,1.782,
2006-10,1.814,
2006-11,1.842,
2006-12,1.880,
2007-01,1.919,
2007-02,1.956,
2007-03,2.008,
2007-04,2.025,
2007-05,2.044,
2007-06,2.073,
2007-07,2.099,
2007-08,2.141,
2007-09,2.165,
2007-10,2.181,
2007-11,2.218,
2007-12,2.263,
2008-01,2.293,
2008-02,2.301,
2008-03,2.285,
2008-04,2.296,
2008-05,2.298,
2008-06,2.305,
2008-07,2.307,
2008-08,2.304,
2008-09,2.319,
2008-10,2.434,
2008-11,2.546,
2008-12,2.649,
2009-01,2.664,
2009-02,2.658,
2009-03,2.658,
2009-04,2.651,
2009-05,2.639,
2009-06,2.628,
2009-07,2.649,
2009-08,2.642,
2009-09,2.647,
2009-10,2.685,
2009-11,2.654,
2009-12,2.580,
2010-01,2.529,
2010-02,2.491,
2010-03,2.465,
2010-04,2.429,
2010-05,2.407,
2010-06,2.397,
2010-07,2.371,
2010-08,2.345,
2010-09,2.302,
2010-10,2.266,
2010-11,2.257,
2010-12,2.254,
2011-01,2.218,
2011-02,2.208,
2011-03,2.226,
2011-04,2.219,
2011-05,2.226,
2011-06,2.258,
2011-07,2.280,
2011-08,2.300,
2011-09,2.295,
2011-10,2.314,
2011-11,2.325,
2011-12,2.352,
2012-01,2.383,
2012-02,2.422,
2012-03,2.457,
2012-04,2.480,
2012-05,2.497,
2012-06,2.539,
2012-07,2.559,
2012-08,2.545,
2012-09,2.526,
2012-10,2.515,
2012-11,2.490,
2012-12,2.454,
2013-01,2.398,
2013-02,2.329,
2013-03,2.293,
2013-04,2.247,
2013-05,2.195,
2013-06,2.156,
2013-07,2.114,
2013-08,2.071,
2013-09,2.041,
2013-10,2.038,
2013-11,2.026,
2013-12,2.010,
2014-01,2.001,
2014-02,1.987,
2014-03,1.976,
2014-04,1.954,
2014-05,1.931,
2014-06,1.906,
2014-07,1.907,
2014-08,1.878,
2014-09,1.876,
2014-10,1.871,
2014-11,1.849,
2014-12,1.829,Provisional value
