"",BBK01.OEYB08O,BBK01.OEYB08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:41,
2002-01,33.242,
2002-04,34.065,
2002-07,34.929,
2002-10,35.220,
2003-01,34.874,
2003-04,34.728,
2003-07,30.025,
2003-10,33.631,
2004-01,33.488,
2004-04,34.402,
2004-07,34.783,
2004-10,36.567,
2005-01,36.353,
2005-04,36.734,
2005-07,37.070,
2005-10,37.061,
2006-01,36.837,
2006-04,36.810,
2006-07,36.737,
2006-10,36.776,
2007-01,36.178,
2007-04,35.996,
2007-07,35.199,
2007-10,34.810,
2008-01,34.166,
2008-04,33.869,
2008-07,29.094,
2008-10,27.749,
2009-01,26.955,
2009-04,26.458,
2009-07,26.413,
2009-10,27.336,
2010-01,26.953,
2010-04,26.258,
2010-07,25.889,
2010-10,25.478,
2011-01,24.975,
2011-04,24.734,
2011-07,24.446,
2011-10,24.081,
2012-01,24.380,
2012-04,24.692,
2012-07,24.006,
2012-10,23.776,
2013-01,23.390,
2013-04,22.847,
2013-07,27.265,
2013-10,27.982,
2014-01,28.428,
2014-04,27.879,
2014-07,27.555,
