"",BBK01.OELJ04K,BBK01.OELJ04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:39,
2002-01,0.079,
2002-04,0.079,
2002-07,0.087,
2002-10,0.076,
2003-01,0.083,
2003-04,0.085,
2003-07,0.071,
2003-10,0.068,
2004-01,0.096,
2004-04,0.100,
2004-07,0.100,
2004-10,0.158,
2005-01,0.097,
2005-04,0.094,
2005-07,0.105,
2005-10,0.114,
2006-01,0.149,
2006-04,0.105,
2006-07,0.092,
2006-10,0.095,
2007-01,0.102,
2007-04,0.100,
2007-07,0.108,
2007-10,0.213,
2008-01,0.149,
2008-04,0.116,
2008-07,0.113,
2008-10,0.268,
2009-01,0.286,
2009-04,0.227,
2009-07,0.270,
2009-10,0.261,
2010-01,0.236,
2010-04,0.213,
2010-07,0.251,
2010-10,0.183,
2011-01,0.160,
2011-04,0.275,
2011-07,0.274,
2011-10,0.166,
2012-01,0.217,
2012-04,0.227,
2012-07,0.212,
2012-10,0.173,
2013-01,0.212,
2013-04,0.226,
2013-07,0.215,
2013-10,0.186,
2014-01,0.134,
2014-04,0.118,
2014-07,0.249,
