"",BBK01.OEHB18N,BBK01.OEHB18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:13,
2002-01,4.301,
2002-04,4.330,
2002-07,4.606,
2002-10,4.844,
2003-01,4.595,
2003-04,4.611,
2003-07,4.562,
2003-10,4.531,
2004-01,4.078,
2004-04,3.912,
2004-07,4.080,
2004-10,3.786,
2005-01,3.560,
2005-04,3.470,
2005-07,3.453,
2005-10,3.552,
2006-01,3.113,
2006-04,3.189,
2006-07,3.134,
2006-10,3.079,
2007-01,2.863,
2007-04,2.864,
2007-07,2.836,
2007-10,2.808,
2008-01,2.701,
2008-04,2.726,
2008-07,2.802,
2008-10,2.823,
2009-01,2.757,
2009-04,2.674,
2009-07,2.667,
2009-10,2.550,
2010-01,2.438,
2010-04,2.407,
2010-07,2.410,
2010-10,2.292,
2011-01,2.256,
2011-04,2.247,
2011-07,2.238,
2011-10,2.130,
2012-01,2.064,
2012-04,2.018,
2012-07,1.998,
2012-10,1.967,
2013-01,1.853,
2013-04,1.800,
2013-07,1.908,
2013-10,1.859,
2014-01,1.838,
2014-04,1.816,
2014-07,1.766,
