"",BBK01.OEAA20K,BBK01.OEAA20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:01,
2002-01,0.222,
2002-04,0.237,
2002-07,0.273,
2002-10,0.288,
2003-01,0.341,
2003-04,0.448,
2003-07,0.464,
2003-10,0.457,
2004-01,0.195,
2004-04,0.140,
2004-07,0.189,
2004-10,0.163,
2005-01,0.110,
2005-04,0.115,
2005-07,0.147,
2005-10,0.149,
2006-01,0.121,
2006-04,0.121,
2006-07,0.152,
2006-10,0.153,
2007-01,0.096,
2007-04,0.109,
2007-07,0.107,
2007-10,0.109,
2008-01,0.056,
2008-04,0.033,
2008-07,0.035,
2008-10,0.029,
2009-01,0.016,
2009-04,0.017,
2009-07,0.017,
2009-10,0.021,
2010-01,0.016,
2010-04,0.005,
2010-07,0.008,
2010-10,0.007,
2011-01,0.004,
2011-04,0.009,
2011-07,0.009,
2011-10,0.021,
2012-01,0.003,
2012-04,0.002,
2012-07,0.001,
2012-10,0.026,
2013-01,0.002,
2013-04,0.001,
2013-07,0.001,
2013-10,0.030,
2014-01,0.001,
2014-04,-,Nothing exists
2014-07,-,Nothing exists
