"",BBK01.OEAD37S,BBK01.OEAD37S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:03,
2002-01,0.056,
2002-04,0.054,
2002-07,0.055,
2002-10,0.054,
2003-01,0.050,
2003-04,0.050,
2003-07,0.047,
2003-10,0.049,
2004-01,0.049,
2004-04,0.047,
2004-07,0.047,
2004-10,0.046,
2005-01,0.047,
2005-04,0.046,
2005-07,0.047,
2005-10,0.050,
2006-01,0.045,
2006-04,0.046,
2006-07,0.047,
2006-10,0.051,
2007-01,0.058,
2007-04,0.056,
2007-07,0.053,
2007-10,0.053,
2008-01,0.055,
2008-04,0.053,
2008-07,0.055,
2008-10,0.055,
2009-01,0.053,
2009-04,0.053,
2009-07,0.046,
2009-10,0.047,
2010-01,0.049,
2010-04,0.048,
2010-07,0.047,
2010-10,0.057,
2011-01,0.056,
2011-04,0.057,
2011-07,0.055,
2011-10,0.057,
2012-01,0.055,
2012-04,0.054,
2012-07,0.053,
2012-10,0.048,
2013-01,0.046,
2013-04,0.049,
2013-07,0.046,
2013-10,0.047,
2014-01,0.046,
2014-04,0.047,
2014-07,0.048,
