"",BBK01.OEXI07I,BBK01.OEXI07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:07,
2002-01,3.890,
2002-04,3.777,
2002-07,3.752,
2002-10,3.788,
2003-01,3.672,
2003-04,3.551,
2003-07,2.544,
2003-10,2.562,
2004-01,2.516,
2004-04,2.457,
2004-07,2.404,
2004-10,2.397,
2005-01,2.409,
2005-04,2.376,
2005-07,2.314,
2005-10,2.367,
2006-01,2.380,
2006-04,2.380,
2006-07,2.368,
2006-10,2.972,
2007-01,3.404,
2007-04,3.499,
2007-07,3.715,
2007-10,3.943,
2008-01,3.973,
2008-04,4.028,
2008-07,4.131,
2008-10,4.869,
2009-01,4.769,
2009-04,4.722,
2009-07,4.780,
2009-10,4.489,
2010-01,4.111,
2010-04,4.003,
2010-07,3.940,
2010-10,4.150,
2011-01,4.312,
2011-04,4.290,
2011-07,4.285,
2011-10,4.294,
2012-01,4.187,
2012-04,4.129,
2012-07,4.007,
2012-10,3.886,
2013-01,3.718,
2013-04,3.590,
2013-07,3.549,
2013-10,3.563,
2014-01,3.534,
2014-04,3.562,
2014-07,3.762,
