"",BBK01.CEFY10,BBK01.CEFY10_FLAGS
"",Trade credits and advances                                    debtor: Non-financial corporations creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:19,
1999-01,414.0,
1999-04,417.5,
1999-07,421.2,
1999-10,430.7,
2000-01,437.1,
2000-04,441.7,
2000-07,447.6,
2000-10,454.7,
2001-01,453.0,
2001-04,452.5,
2001-07,448.7,
2001-10,451.4,
2002-01,445.0,
2002-04,446.0,
2002-07,447.2,
2002-10,449.8,
2003-01,450.6,
2003-04,450.7,
2003-07,452.4,
2003-10,454.5,
2004-01,453.4,
2004-04,448.5,
2004-07,445.5,
2004-10,443.3,
2005-01,446.6,
2005-04,453.5,
2005-07,460.0,
2005-10,468.2,
2006-01,471.3,
2006-04,472.6,
2006-07,475.6,
2006-10,482.3,
2007-01,497.6,
2007-04,511.5,
2007-07,531.7,
2007-10,543.6,
2008-01,551.4,
2008-04,560.1,
2008-07,566.4,
2008-10,565.0,
2009-01,547.1,
2009-04,545.1,
2009-07,529.9,
2009-10,526.9,
2010-01,527.3,
2010-04,557.1,
2010-07,569.4,
2010-10,588.6,
2011-01,606.0,
2011-04,605.8,
2011-07,620.0,
2011-10,635.5,
2012-01,626.7,
2012-04,632.8,
2012-07,647.0,
2012-10,662.0,
2013-01,661.4,
2013-04,645.2,
2013-07,660.6,
2013-10,651.8,
2014-01,649.2,
2014-04,648.8,
2014-07,669.0,
