"",BBSF2.M.1.S.I1252.GEF01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.GEF01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net asset value / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:38,
2009-09,21305,
2009-10,20859,
2009-11,20919,
2009-12,20409,
2010-01,21302,
2010-02,21287,
2010-03,22357,
2010-04,21839,
2010-05,21341,
2010-06,20865,
2010-07,21407,
2010-08,21834,
2010-09,22328,
2010-10,22151,
2010-11,21962,
2010-12,21599,
2011-01,21226,
2011-02,21245,
2011-03,20993,
2011-04,21390,
2011-05,21366,
2011-06,21276,
2011-07,22638,
2011-08,22128,
2011-09,21691,
2011-10,22970,
2011-11,22611,
2011-12,22658,
2012-01,23073,
2012-02,24055,
2012-03,24324,
2012-04,24079,
2012-05,23686,
2012-06,24023,
2012-07,24690,
2012-08,24853,
2012-09,24190,
2012-10,24088,
2012-11,23864,
2012-12,23446,
2013-01,24063,
2013-02,24351,
2013-03,24388,
2013-04,25094,
2013-05,25466,
2013-06,24849,
2013-07,25237,
2013-08,25163,
2013-09,25562,
2013-10,25999,
2013-11,25953,
2013-12,25758,
2014-01,25841,
2014-02,26452,
2014-03,26086,
2014-04,26456,
2014-05,27076,
2014-06,27085,
2014-07,25783,
2014-08,24978,
2014-09,24719,
2014-10,24268,
2014-11,24602,
