"",BBK01.OELM03Q,BBK01.OELM03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:41,
2002-01,0.126,
2002-04,0.122,
2002-07,0.113,
2002-10,0.106,
2003-01,0.116,
2003-04,0.102,
2003-07,0.104,
2003-10,0.113,
2004-01,0.107,
2004-04,0.104,
2004-07,0.101,
2004-10,0.105,
2005-01,0.099,
2005-04,0.105,
2005-07,0.184,
2005-10,0.189,
2006-01,0.144,
2006-04,0.207,
2006-07,0.236,
2006-10,0.228,
2007-01,0.181,
2007-04,0.113,
2007-07,0.122,
2007-10,0.125,
2008-01,0.139,
2008-04,0.156,
2008-07,0.126,
2008-10,0.141,
2009-01,0.173,
2009-04,0.166,
2009-07,0.185,
2009-10,0.171,
2010-01,0.144,
2010-04,0.112,
2010-07,0.127,
2010-10,0.114,
2011-01,0.102,
2011-04,0.123,
2011-07,0.106,
2011-10,0.095,
2012-01,0.094,
2012-04,0.114,
2012-07,0.115,
2012-10,0.106,
2013-01,0.117,
2013-04,0.110,
2013-07,0.109,
2013-10,0.098,
2014-01,0.111,
2014-04,0.170,
2014-07,0.170,
