"",BBK01.OEXB24T,BBK01.OEXB24T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:19,
2002-01,0.463,
2002-04,0.457,
2002-07,0.457,
2002-10,0.464,
2003-01,0.464,
2003-04,0.467,
2003-07,0.476,
2003-10,0.552,
2004-01,0.575,
2004-04,0.571,
2004-07,0.573,
2004-10,0.582,
2005-01,0.596,
2005-04,0.603,
2005-07,0.599,
2005-10,0.602,
2006-01,0.611,
2006-04,0.589,
2006-07,0.593,
2006-10,0.594,
2007-01,0.600,
2007-04,0.587,
2007-07,0.580,
2007-10,0.572,
2008-01,0.521,
2008-04,0.499,
2008-07,0.488,
2008-10,0.481,
2009-01,0.481,
2009-04,0.495,
2009-07,0.507,
2009-10,0.542,
2010-01,0.546,
2010-04,0.512,
2010-07,0.519,
2010-10,0.534,
2011-01,0.531,
2011-04,0.534,
2011-07,0.535,
2011-10,0.544,
2012-01,0.535,
2012-04,0.556,
2012-07,0.580,
2012-10,0.580,
2013-01,0.591,
2013-04,0.588,
2013-07,0.614,
2013-10,0.619,
2014-01,0.632,
2014-04,0.641,
2014-07,0.649,
